회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,자기자본배율,이자보상배율(이자비용),비유동비율,유동자산구성비율,자기자본구성비율,차입금의존도,매출액증가율,총자본증가율,자기자본증가율,순이익증가율,유형자산증가율,비유동자산증가율,유동자산증가율,재고자산증가율,매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,1주당순이익,1주당매출액,금융비용 대 총비용비율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,폐지사유
(주)DB하이텍,990,2011/12,1975/12/12,,1,35.2,25.5,5.04,-42.95,289.22,143.54,-0.75,298.42,23.33,25.69,59.0,-10.94,-13.19,-22.6,0.0,-7.89,-14.1,-10.08,-3.28,16.62,-17.74,-2.91,-7.59,-27.74,-2541.0,12865.19,7.77,0.43,1.56,0.56,7.04,6.12,20.51,17.79,51.83,59.6,0.01,0.0,0.72,0.7,1.87,2.54,217837.57,18.17,29.75,78.9,39.45,62.53,37.47,-44.96,
(주)DB하이텍,990,2012/12,1975/12/12,,1,55.66,41.39,7.19,-21.27,298.0,130.71,-0.31,291.73,26.7,25.13,58.88,6.98,-3.44,-5.57,0.0,-9.69,-7.69,10.52,2.79,16.38,-5.31,-0.98,-2.66,-10.47,-780.0,13272.77,6.9,0.5,1.97,0.67,7.56,8.08,28.86,12.65,48.31,45.19,0.01,0.0,0.61,0.82,2.01,2.73,245655.23,21.22,37.03,112.22,41.58,55.93,44.07,-12.76,
(주)DB하이텍,990,2013/12,1975/12/12,,1,46.76,31.58,7.39,-23.99,416.9,92.0,-0.16,408.01,21.07,19.35,62.73,-16.42,-8.58,-29.61,0.0,-7.2,-1.55,-27.88,-8.69,18.08,-16.82,-0.6,-7.49,-33.51,-2066.0,11092.77,9.98,0.45,1.99,0.59,6.51,7.74,20.81,17.54,56.05,47.13,0.01,0.0,0.63,0.75,1.86,2.6,191554.48,18.1,31.86,112.45,38.8,67.15,32.85,-43.35,
(주)DB하이텍,990,2014/12,1975/12/12,,1,65.77,47.39,10.72,-13.08,715.95,54.23,0.67,610.83,25.14,12.26,66.85,14.98,-6.95,-41.05,0.0,-6.96,-11.75,11.04,-4.42,24.11,-13.56,4.65,-7.54,-47.32,-1915.0,12754.51,11.38,0.56,3.49,0.72,8.02,8.06,17.22,21.2,45.51,45.31,0.01,0.0,0.86,0.92,2.41,3.45,187341.51,19.02,33.99,136.97,33.0,68.59,31.41,-41.11,
(주)DB하이텍,990,2015/12,1975/12/12,,1,138.4,104.2,44.31,9.52,287.57,114.15,2.5,254.62,34.3,25.8,53.39,17.42,-0.02,110.48,0.0,-9.91,-12.26,36.42,20.64,34.46,19.01,12.83,12.87,67.63,3112.0,14975.9,7.85,0.68,3.56,0.96,8.73,7.67,16.56,22.04,41.79,47.58,0.01,0.0,1.11,1.19,2.28,3.08,386127.3,39.21,78.88,230.24,57.93,35.93,64.07,32.82,
(주)DB하이텍,990,2016/12,1975/12/12,,1,134.53,106.69,42.15,9.6,188.6,153.63,4.41,180.71,37.39,34.65,42.8,15.98,0.22,34.58,-30.29,2.73,-4.49,9.23,-8.52,37.51,11.43,17.66,8.96,29.65,2042.0,17369.58,5.84,0.78,2.59,1.22,9.68,7.64,17.48,20.88,37.72,47.75,0.02,0.0,1.26,1.43,2.19,2.83,341049.1,34.56,67.56,173.22,44.11,40.69,59.31,25.9,
(주)DB하이텍,990,2017/12,1975/12/12,,1,243.53,191.87,74.02,20.97,118.07,204.8,6.05,140.48,35.58,45.86,35.77,-12.08,0.73,33.31,24.71,1.44,3.63,-4.14,-1.74,37.3,16.21,14.66,11.12,27.62,2546.0,15271.17,3.79,0.69,1.7,1.08,8.98,6.94,17.41,20.96,40.64,52.61,0.01,0.0,1.19,1.23,1.88,2.38,329388.04,33.14,63.21,148.35,48.46,40.2,59.8,33.45,
(주)DB하이텍,990,2018/12,1975/12/12,,1,244.51,217.15,75.96,21.24,91.0,250.9,6.77,122.34,35.95,52.36,28.6,-1.54,7.3,22.51,-21.19,7.56,6.69,8.4,-42.83,32.17,12.97,11.34,8.43,17.12,2002.0,15036.21,2.26,0.65,1.32,1.01,11.35,7.25,19.03,19.18,32.15,50.33,0.02,0.0,1.29,1.16,1.82,2.16,309084.25,28.98,61.13,140.95,46.18,42.92,57.08,28.09,
(주)DB하이텍,990,2019/12,1975/12/12,,1,194.01,170.41,38.58,18.97,68.91,289.66,13.44,102.79,39.15,59.2,23.21,20.64,2.1,15.45,20.51,3.18,-3.0,11.19,20.86,36.43,12.96,17.14,9.71,17.4,2410.0,18139.64,1.55,0.75,1.34,1.2,17.05,8.04,24.06,15.17,21.41,45.4,0.02,0.98,1.36,1.33,1.99,2.26,379212.5,34.83,67.3,135.21,46.97,38.21,61.79,27.59,
(주)DB하이텍,990,2020/12,1975/12/12,,1,175.47,155.66,18.45,16.76,48.33,357.03,36.79,90.53,38.96,67.42,15.09,15.92,8.24,23.26,58.67,9.42,8.56,7.73,0.02,38.35,17.74,21.29,14.64,23.07,3822.0,21026.63,0.62,0.83,1.3,1.35,18.05,9.16,27.75,13.15,20.22,39.86,0.02,0.0,1.37,1.45,2.11,2.39,483956.34,41.06,83.62,177.32,51.71,32.58,67.42,34.31,
