회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),이자보상배율(이자비용)(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),차입금의존도(IFRS),매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS),1주당매출액(IFRS),금융비용 대 총비용비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS)
(주)DB하이텍,000990,2011/12,1975/12/12,,1,33.38,23.7,4.33,-44.83,305.87,135.92,-0.69,314.69,22.47,24.64,59.75,-9.96,-13.18,-22.61,0,-7.91,-13.8,-10.98,-3.28,17.06,-17.42,-2.7,-7.31,-27.84,-2414,12448.19,7.91,0.42,1.6,0.54,6.81,6.56,19.91,18.33,53.57,55.67,0.01,0,0.71,0.68,1.89,2.62,216914,18.32,29.66,78.56,40.6,60.68,39.32,-42.91
(주)DB하이텍,000990,2012/12,1975/12/12,,1,53.84,39.77,6.84,-22.63,318.52,123.36,-0.29,308.05,26.39,23.89,59.32,9.28,-2.95,-5.88,0,-9.66,-7.87,14.03,2.79,16.6,-5.5,-0.89,-2.75,-11.35,-799,13118.09,7.01,0.5,2.06,0.66,7.47,8.12,25.12,14.53,48.88,44.97,0.01,0,0.61,0.81,2.05,2.83,241800.39,21.04,36.47,110.46,41.41,55.38,44.62,-13.28
(주)DB하이텍,000990,2013/12,1975/12/12,,1,46.64,31.45,7.28,-24.24,431.96,88.65,-0.16,419.28,21.18,18.8,63.26,-15.44,-8.67,-28.14,0,-7.18,-2.2,-26.7,-8.69,18.08,-14.83,-0.6,-6.66,-31.05,-1823,11092.77,9.86,0.45,2.09,0.59,6.51,7.41,18.66,19.56,56.05,49.24,0.01,0,0.63,0.75,1.88,2.64,198528.8,18.92,33.04,116.55,40.21,63.91,36.09,-36.89
(주)DB하이텍,000990,2014/12,1975/12/12,,1,65.48,47.09,10.45,-12.96,636.17,61.16,0.67,555.2,24.58,13.58,65.71,14.98,-4.53,-31.01,0,-6.94,-8.65,10.79,-4.42,24.11,-10.27,4.6,-5.69,-34.99,-1450,12754.51,10.94,0.55,3.41,0.72,8.02,8.07,17.37,21.01,45.51,45.21,0.01,0,0.86,0.93,2.42,3.47,207672.46,20.73,37.69,151.84,36.58,60.99,39.01,-28.08
(주)DB하이텍,000990,2015/12,1975/12/12,,1,137.97,103.5,43.28,9.14,262.19,124.76,2.49,241.89,33.22,27.61,52.27,17.42,0.37,104.01,0,-9.89,-11.12,35.62,20.64,34.46,19.12,12.52,12.7,61.61,3131,14975.9,7.82,0.66,3.22,0.93,8.73,7.7,17.02,21.45,41.79,47.42,0.01,0,1.11,1.19,2.3,3.12,382610.36,38.05,78.17,228.14,57.4,35.86,64.14,33.32
(주)DB하이텍,000990,2016/12,1975/12/12,,1,133.9,105.82,40.74,9.16,176.13,163.76,4.39,176.22,36.18,36.21,41.96,15.98,0.07,31.26,-30.96,2.73,-4.38,9.01,-8.52,37.51,11.38,17.54,8.75,27.41,2034,17369.58,5.39,0.77,2.41,1.18,9.68,7.66,18.38,19.86,37.72,47.67,0.02,0,1.28,1.43,2.21,2.87,336460.47,33.43,66.65,170.89,43.52,40.88,59.12,26.16
(주)DB하이텍,000990,2017/12,1975/12/12,,1,243.54,191.12,71.34,21.01,121.4,198.4,6.01,142.47,35.65,45.17,36.37,-12.08,-2.86,21.15,-15.45,1.44,-2.05,-4.29,-1.74,37.3,10.95,14.55,7.5,18.46,1719,15271.17,3.92,0.69,1.69,1.07,8.98,6.94,18.53,19.7,40.64,52.61,0.01,0,1.21,1.23,1.91,2.42,292737.25,29.95,56.18,131.84,43.07,44.8,55.2,25.42
(주)DB하이텍,000990,2018/12,1975/12/12,,1,242.42,215.06,75.75,21.25,93.66,243.78,6.76,123.6,36.18,51.64,29.03,-1.54,7.48,22.88,27.8,7.56,6.6,9.06,-42.83,32.17,14.21,11.5,9.38,19.32,2192,15036.21,2.22,0.66,1.36,1.03,11.35,7.25,19.69,18.54,32.15,50.33,0.02,0,1.3,1.16,1.84,2.19,316543.96,30.13,62.61,144.35,47.3,41.66,58.34,30.04
(주)DB하이텍,000990,2019/12,1975/12/12,,1,192.43,168.83,38.36,18.63,68.82,289.95,13.43,103.34,38.79,59.23,23.2,20.64,3.68,18.94,27.42,3.18,-0.56,11.16,20.86,36.43,15.01,17.24,11.32,20.4,2790,18139.64,1.52,0.75,1.36,1.21,17.05,8.04,24.22,15.07,21.41,45.4,0.02,1.15,1.37,1.33,2.01,2.28,394709.63,36.23,70.05,140.74,48.89,36.44,63.56,30.7
(주)DB하이텍,000990,2020/12,1975/12/12,,1,174.09,154.28,18.24,16.44,48.29,357.32,36.77,90.99,38.64,67.44,15.07,15.92,8.25,23.23,36.73,9.43,8.51,7.84,0.02,38.35,17.7,21.26,14.6,23,3814,21026.63,0.64,0.83,1.3,1.35,18.05,9.16,27.89,13.09,20.22,39.86,0.02,0,1.38,1.45,2.13,2.42,482506.07,40.92,83.37,176.79,51.55,32.44,67.56,34.33
(주)DB하이텍,000990,2021/12,1975/12/12,,1,241.47,221.77,54.25,30.62,39.99,496.94,121.56,66.82,52.27,71.43,11.1,29.78,31.29,39.07,91.31,-2.5,2.12,77.6,27.33,44.06,26.09,29.44,23.24,33.34,7293,27289.38,0.09,0.89,1.28,1.66,20.61,10.24,30.03,12.15,17.71,35.66,0.02,1.23,1.3,1.82,1.92,2.12,744057.87,48.06,134.36,284.4,61.26,23.93,76.07,42.59
(주)DB하이텍,000990,2022/12,1975/12/12,,1,326.91,308.65,36.75,43.26,29.48,735.69,232.2,48.79,62.32,77.23,5.88,37.92,36.93,48.04,76.24,12.18,8.09,63.27,11.74,55.7,33.34,42.71,30.45,40.72,12852,37637.47,-1.2,0.91,1.22,2.18,23.97,12.97,36.19,10.09,15.23,28.14,0.03,1.33,1.17,2.4,1.57,1.68,1067662.72,50.36,189.37,385.13,63.73,19.92,80.08,52.31
(주)HJ중공업,097230,2011/12,2007/08/31,,1,121.27,111.06,35.94,6.54,212.4,776.53,0.34,195.94,37.28,32.01,43.17,-15.3,-7.37,-6.32,0,-1.46,7.24,-24.64,10.98,6.87,-5.02,1.39,-1.91,-6,-2409,47962.12,5.71,0.38,1.19,0.65,13.26,2.65,7.93,46.02,27.52,137.7,0.01,0.13,0.48,1.61,0.91,0.98,364032,6.22,25.59,390.9,15.72,54.3,45.7,-31.94
(주)HJ중공업,097230,2012/12,2007/08/31,,1,113.85,106.16,29.3,4.96,218.65,771.83,0.17,188.81,40.75,31.38,51.33,-14.48,1.38,-0.61,0,-5.88,-4.23,10.82,-11.12,7.44,0.66,0.88,0.22,0.7,271,41019.34,6.54,0.34,1.06,0.55,11.42,2.27,9.56,38.18,31.97,160.73,0.01,0.24,0.46,1.43,0.86,0.93,488043,8.22,36.7,584.86,24.64,42.59,57.41,2.68
(주)HJ중공업,097230,2013/12,2007/08/31,,1,78.29,58.64,17.91,-9.26,223.6,520.9,-0.72,215.56,33.39,30.9,50.28,-2.7,-1.66,-3.16,0,-1.03,10.56,-19.43,199.78,1.37,-11.04,-1.46,-3.61,-11.6,-3299,29900.96,5.62,0.33,1.05,0.52,5.91,3.27,8.61,42.39,61.81,111.63,0.01,1.77,0.43,1.44,0.88,1.04,213438,3.65,16.33,280.35,11.07,125.61,-25.61,-99.66
(주)HJ중공업,097230,2014/12,2007/08/31,,1,84.34,63.48,9.77,-6.31,210.45,344.49,-0.78,204.97,33.98,32.21,43.96,-6.66,-6.33,-2.37,0,-4.99,-7.16,-4.68,-6.1,0.04,-12.55,-1.57,-3.99,-12.66,-2771,22100.18,5.47,0.32,1.01,0.48,3.79,5.95,5.85,62.37,96.28,61.32,0.01,0.26,0.42,1.39,0.94,1.26,241189,4.41,19.73,356.11,13.41,111.23,-11.23,-93.59
