회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,매입채무,당기순이익,매출액,판매비와 관리비,매출원가,금융비용
(주)DB하이텍,990,2011-09-01,1331278.0,581948.0,422693.0,998602.0,332675.0,84152.0,25412.28,-42928.0,122676.0,30817.0,102496.0,20404.0
(주)DB하이텍,990,2012-09-01,1211757.0,589658.0,350105.0,915374.0,296383.0,86670.0,26267.774,13444.0,149837.0,27248.0,123603.0,12255.0
(주)DB하이텍,990,2013-09-01,1116377.0,490719.0,255494.0,869776.0,246602.0,86134.0,34802.061,-15014.0,133585.0,24276.0,108125.0,9923.0
(주)DB하이텍,990,2014-09-01,1010428.0,377742.0,232133.0,867083.0,143344.0,72663.0,35183.026,-39329.0,147855.0,22453.0,112963.0,17620.0
(주)DB하이텍,990,2015-09-01,1066650.0,419303.0,313865.0,806948.0,259702.0,89897.0,55489.12,29579.0,188237.0,24945.0,114326.0,17942.0
(주)DB하이텍,990,2016-09-01,950130.0,204512.0,303925.0,628381.0,321749.0,71012.0,43070.322,19149.0,198217.0,25808.0,126463.0,10407.0
(주)DB하이텍,990,2017-09-01,989103.0,150407.0,357974.0,581863.0,407240.0,88527.0,40423.349,9261.0,163900.0,25499.0,104794.0,4584.0
(주)DB하이텍,990,2018-09-01,1058460.0,180760.0,403166.0,518526.0,539934.0,37686.0,35087.685,22535.0,183740.0,24408.0,118644.0,5803.0
(주)DB하이텍,990,2019-09-01,1117102.0,204120.0,432510.0,481152.0,635950.0,56358.0,33803.09,42509.0,222320.0,25832.0,134639.0,5133.0
(주)DB하이텍,990,2020-09-01,1157432.0,259244.0,451466.0,375840.0,781592.0,54522.0,35708.215,42803.0,240647.0,30532.0,142913.0,1176.0
(주)DB하이텍,990,2021-09-01,1362530.0,277764.0,664454.0,381930.0,980600.0,59273.0,40936.471,92762.0,328440.0,35251.0,174138.0,1519.0
(주)DB하이텍,990,2022-09-01,2055879.0,384175.0,1246088.0,477679.0,1578200.0,69772.0,48205.297,194777.0,447380.0,42658.0,184290.0,8966.0
(주)HJ중공업,97230,2011-09-01,7398559.0,2956854.0,2705107.0,5425965.0,1972594.0,321071.0,207717.0,11937.0,986596.0,40815.0,858622.0,68064.0
(주)HJ중공업,97230,2012-09-01,6652449.0,2357048.0,2108217.0,4895816.0,1756633.0,253491.0,189365.0,-62335.0,939608.0,40783.0,890862.0,89500.0
(주)HJ중공업,97230,2013-09-01,6389080.0,2954135.0,2464017.0,4639893.0,1749187.0,614955.0,190253.0,-52749.0,890947.0,35672.0,867087.0,31132.0
(주)HJ중공업,97230,2014-09-01,6291457.0,2732124.0,2523916.0,4664718.0,1626739.0,634538.0,217549.0,-112507.0,878109.0,45797.0,906720.0,46126.0
(주)HJ중공업,97230,2015-09-01,6224679.0,3094384.0,2578368.0,4681092.0,1543587.0,927357.0,292965.0,-54705.0,1382156.0,79421.0,1255386.0,98558.0
(주)HJ중공업,97230,2016-09-01,5243176.0,2339286.0,2165680.0,4123676.0,1119500.0,669752.0,279096.0,-75789.0,1120695.0,46690.0,1060238.0,75871.0
(주)HJ중공업,97230,2017-09-01,4560519.0,2310924.0,2149534.0,3823046.0,737473.0,426548.0,260781.0,-1456.0,1073188.0,63435.0,1057192.0,36170.0
(주)HJ중공업,97230,2018-09-01,3892673.0,2879222.0,1698197.0,3383661.0,509012.0,622551.0,175248.0,-41212.0,671310.0,30538.0,665309.0,35379.0
(주)HJ중공업,97230,2019-09-01,2200406.0,1117896.0,1162076.0,1995673.0,204733.0,456082.0,188582.0,273580.0,403760.0,18080.0,369333.0,21470.0
(주)HJ중공업,97230,2020-09-01,2167359.0,1515698.0,1027269.0,1817283.0,350076.0,167562.0,174791.0,42346.0,471707.0,20099.0,406645.0,12906.0
(주)HJ중공업,97230,2021-09-01,2054009.0,951959.0,907062.0,1793300.0,260709.0,184568.0,228610.0,4488.0,478015.0,20101.0,449658.0,18000.0
(주)HJ중공업,97230,2022-09-01,2428235.0,1034810.0,919574.0,2041011.0,387224.0,210942.0,175170.0,-20499.0,398248.0,27095.0,371060.0,21615.0
(주)MH에탄올,23150,2011-09-01,139982.0,70706.0,30878.0,84136.0,55846.0,4083.0,1910.298,1115.0,10271.0,946.0,8010.0,1081.0
(주)MH에탄올,23150,2012-09-01,136285.0,65880.0,24914.0,78956.0,57329.0,5887.0,1472.832,40.0,11042.0,949.0,8859.0,1562.0
(주)MH에탄올,23150,2013-09-01,126138.0,74139.0,41010.0,88343.0,37795.0,12230.0,0.0,-4784.0,28072.0,1993.0,29571.0,1324.0
(주)MH에탄올,23150,2014-09-01,88935.0,32216.0,29051.0,33333.0,55603.0,8356.0,0.0,-3248.0,12858.0,758.0,9732.0,316.0
(주)MH에탄올,23150,2015-09-01,83645.0,26085.0,28615.0,26734.0,56911.0,5870.0,0.0,1057.0,11690.0,836.0,8680.0,211.0
(주)MH에탄올,23150,2016-09-01,74752.0,12493.0,19942.0,12985.0,61767.0,8602.0,0.0,1038.0,11619.0,875.0,8390.0,183.0
(주)MH에탄올,23150,2017-09-01,85193.0,15751.0,21053.0,18149.0,67044.0,6140.0,0.0,2449.0,12243.0,795.0,8580.0,60.0
(주)MH에탄올,23150,2018-09-01,454365.0,164206.0,35957.0,363628.0,90737.0,6322.0,0.0,-6036.0,28010.0,12820.0,22810.0,10792.0
(주)MH에탄올,23150,2019-09-01,456325.0,268191.0,29207.0,372540.0,83785.0,7431.0,0.0,-2085.0,35046.0,12132.0,23111.0,7558.0
(주)MH에탄올,23150,2020-09-01,450067.0,147029.0,37826.0,374555.0,75512.0,8426.0,0.0,-207.0,41453.0,14698.0,23372.0,7036.0
(주)MH에탄올,23150,2021-09-01,448394.0,280330.0,44116.0,364493.0,83901.0,11116.0,0.0,2052.0,50526.0,14495.0,23186.0,8797.0
(주)MH에탄올,23150,2022-09-01,447157.0,184716.0,50906.0,356121.0,91036.0,8124.0,0.0,2666.0,56773.0,15296.0,27981.0,8199.0
(주)SH에너지화학,2360,2011-09-01,98322.0,29802.0,43243.0,34987.0,63335.0,9159.0,1161.657,740.0,45163.0,1960.0,42139.0,767.0
(주)SH에너지화학,2360,2012-09-01,105529.0,33190.0,51247.0,39159.0,66370.0,12618.0,2564.592,1112.0,50055.0,2115.0,46067.0,829.0
(주)SH에너지화학,2360,2013-09-01,108781.0,32388.0,56926.0,41373.0,67409.0,12551.0,3051.236,123.0,55756.0,3778.0,50893.0,-59.0
(주)SH에너지화학,2360,2014-09-01,113514.0,29323.0,63518.0,34617.0,78897.0,13534.0,3019.903,4848.0,60460.0,3746.0,50687.0,-283.0
(주)SH에너지화학,2360,2015-09-01,117865.0,19589.0,64543.0,25224.0,92641.0,14865.0,1058.296,3629.0,57342.0,4738.0,48262.0,329.0
(주)SH에너지화학,2360,2016-09-01,115977.0,9250.0,75049.0,16470.0,99507.0,17126.0,1316.641,4059.0,52586.0,4975.0,41202.0,687.0
(주)SH에너지화학,2360,2017-09-01,123201.0,8384.0,84997.0,17059.0,106142.0,10099.0,458.192,1607.0,47322.0,4177.0,41265.0,54.0
(주)SH에너지화학,2360,2018-09-01,123981.0,7171.0,87009.0,17392.0,106589.0,21819.0,1350.454,-291.0,46981.0,3364.0,43957.0,127.0
(주)SH에너지화학,2360,2019-09-01,125680.0,7578.0,85866.0,23463.0,102217.0,15996.0,1499.015,-92.0,37593.0,2858.0,35208.0,-73.0
