회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융비용
(주)DB하이텍,990,2011/09,1331278.0,581948.0,422693.0,998602.0,332675.0,84152.0,-53609.0,419560.0,93353.0,331697.0,25412.28,49526.0
(주)DB하이텍,990,2012/09,1211757.0,589658.0,350105.0,915374.0,296383.0,86670.0,-10204.0,450104.0,86149.0,366734.0,26267.774,39098.0
(주)DB하이텍,990,2013/09,1116377.0,490719.0,255494.0,869776.0,246602.0,86134.0,-41107.0,387277.0,73820.0,307186.0,34802.061,44283.0
(주)DB하이텍,990,2014/09,1010428.0,377742.0,232133.0,867083.0,143344.0,72663.0,-58237.0,410179.0,68910.0,317885.0,35183.026,51853.0
(주)DB하이텍,990,2015/09,1066650.0,419303.0,313865.0,806948.0,259702.0,89897.0,117807.0,485083.0,73597.0,316661.0,55489.12,51008.0
(주)DB하이텍,990,2016/09,950130.0,204512.0,303925.0,628381.0,321749.0,71012.0,75963.0,572144.0,83335.0,358087.0,43070.322,33482.0
(주)DB하이텍,990,2017/09,989103.0,150407.0,357974.0,581863.0,407240.0,88527.0,64270.0,529044.0,81584.0,317608.0,40423.349,35697.0
(주)DB하이텍,990,2018/09,1058460.0,180760.0,403166.0,518526.0,539934.0,37686.0,69235.0,496246.0,74560.0,334496.0,35087.685,14876.0
(주)DB하이텍,990,2019/09,1117102.0,204120.0,432510.0,481152.0,635950.0,56358.0,92134.0,595385.0,83945.0,377989.0,33803.09,15654.0
(주)DB하이텍,990,2020/09,1157432.0,259244.0,451466.0,375840.0,781592.0,54522.0,152460.0,708101.0,85996.0,413173.0,35708.215,10547.0
(주)DB하이텍,990,2021/09,1362530.0,277764.0,664454.0,381930.0,980600.0,59273.0,199520.0,846827.0,98798.0,487068.0,40936.471,4850.0
(주)DB하이텍,990,2022/09,2055879.0,384175.0,1246088.0,477679.0,1578200.0,69772.0,490457.0,1278147.0,114726.0,548322.0,48205.297,14727.0
(주)HJ중공업,97230,2011/09,7398559.0,2956854.0,2705107.0,5425965.0,1972594.0,321071.0,-27058.0,2136492.0,96278.0,1955402.0,207717.0,209789.0
(주)HJ중공업,97230,2012/09,6652449.0,2357048.0,2108217.0,4895816.0,1756633.0,253491.0,-85921.0,1831980.0,93414.0,1708439.0,189365.0,182051.0
(주)HJ중공업,97230,2013/09,6389080.0,2954135.0,2464017.0,4639893.0,1749187.0,614955.0,-90864.0,1867166.0,94428.0,1736817.0,190253.0,156552.0
(주)HJ중공업,97230,2014/09,6291457.0,2732124.0,2523916.0,4664718.0,1626739.0,634538.0,-193648.0,1808063.0,96450.0,1808157.0,217549.0,147255.0
(주)HJ중공업,97230,2015/09,6224679.0,3094384.0,2578368.0,4681092.0,1543587.0,927357.0,-142302.0,2369184.0,128750.0,2246642.0,292965.0,183000.0
(주)HJ중공업,97230,2016/09,5243176.0,2339286.0,2165680.0,4123676.0,1119500.0,669752.0,-16450.0,2133546.0,93927.0,1952624.0,279096.0,150803.0
(주)HJ중공업,97230,2017/09,4560519.0,2310924.0,2149534.0,3823046.0,737473.0,426548.0,-138581.0,1804851.0,115597.0,1722433.0,260781.0,120457.0
(주)HJ중공업,97230,2018/09,3892673.0,2879222.0,1698197.0,3383661.0,509012.0,622551.0,-73283.0,1460455.0,74739.0,1359364.0,175248.0,91530.0
(주)HJ중공업,97230,2019/09,2200406.0,1117896.0,1162076.0,1995673.0,204733.0,456082.0,185166.0,1084470.0,75576.0,993952.0,188582.0,105843.0
(주)HJ중공업,97230,2020/09,2167359.0,1515698.0,1027269.0,1817283.0,350076.0,167562.0,105030.0,1296688.0,55918.0,1178735.0,174791.0,48070.0
(주)HJ중공업,97230,2021/09,2054009.0,951959.0,907062.0,1793300.0,260709.0,184568.0,-58298.0,1193169.0,64804.0,1144320.0,228610.0,44941.0
(주)HJ중공업,97230,2022/09,2428235.0,1034810.0,919574.0,2041011.0,387224.0,210942.0,-43685.0,1191300.0,69373.0,1117067.0,175170.0,52539.0
(주)MH에탄올,23150,2011/09,139982.0,70706.0,30878.0,84136.0,55846.0,4083.0,2862.0,32727.0,2779.0,24812.0,1910.298,3877.0
(주)MH에탄올,23150,2012/09,136285.0,65880.0,24914.0,78956.0,57329.0,5887.0,1168.0,33455.0,2624.0,26701.0,1472.832,3817.0
(주)MH에탄올,23150,2013/09,126138.0,74139.0,41010.0,88343.0,37795.0,12230.0,-1969.0,50955.0,3773.0,45666.0,0.0,2929.0
(주)MH에탄올,23150,2014/09,88935.0,32216.0,29051.0,33333.0,55603.0,8356.0,2282.0,36585.0,2268.0,25772.0,0.0,1448.0
(주)MH에탄올,23150,2015/09,83645.0,26085.0,28615.0,26734.0,56911.0,5870.0,6492.0,37135.0,2146.0,25505.0,0.0,694.0
(주)MH에탄올,23150,2016/09,74752.0,12493.0,19942.0,12985.0,61767.0,8602.0,6249.0,36650.0,2429.0,25132.0,0.0,471.0
(주)MH에탄올,23150,2017/09,85193.0,15751.0,21053.0,18149.0,67044.0,6140.0,6344.0,36112.0,2290.0,25500.0,0.0,290.0
(주)MH에탄올,23150,2018/09,454365.0,164206.0,35957.0,363628.0,90737.0,6322.0,-2369.0,51902.0,14457.0,40248.0,0.0,11366.0
(주)MH에탄올,23150,2019/09,456325.0,268191.0,29207.0,372540.0,83785.0,7431.0,1181.0,59262.0,13843.0,41162.0,0.0,8140.0
(주)MH에탄올,23150,2020/09,450067.0,147029.0,37826.0,374555.0,75512.0,8426.0,2627.0,69770.0,16508.0,45602.0,0.0,7528.0
(주)MH에탄올,23150,2021/09,448394.0,280330.0,44116.0,364493.0,83901.0,11116.0,4912.0,74556.0,16582.0,41435.0,0.0,9171.0
(주)MH에탄올,23150,2022/09,447157.0,184716.0,50906.0,356121.0,91036.0,8124.0,3734.0,82438.0,17333.0,49964.0,0.0,8725.0
(주)SH에너지화학,2360,2011/09,98322.0,29802.0,43243.0,34987.0,63335.0,9159.0,2073.0,124565.0,5716.0,116314.0,1161.657,2185.0
(주)SH에너지화학,2360,2012/09,105529.0,33190.0,51247.0,39159.0,66370.0,12618.0,2341.0,144224.0,6732.0,134109.0,2564.592,2136.0
(주)SH에너지화학,2360,2013/09,108781.0,32388.0,56926.0,41373.0,67409.0,12551.0,2830.0,167480.0,7531.0,155536.0,3051.236,1522.0
(주)SH에너지화학,2360,2014/09,113514.0,29323.0,63518.0,34617.0,78897.0,13534.0,10846.0,170887.0,8107.0,148500.0,3019.903,1176.0
(주)SH에너지화학,2360,2015/09,117865.0,19589.0,64543.0,25224.0,92641.0,14865.0,12996.0,158023.0,10464.0,131278.0,1058.296,708.0
(주)SH에너지화학,2360,2016/09,115977.0,9250.0,75049.0,16470.0,99507.0,17126.0,12940.0,152607.0,9768.0,125150.0,1316.641,1097.0
(주)SH에너지화학,2360,2017/09,123201.0,8384.0,84997.0,17059.0,106142.0,10099.0,8221.0,149075.0,8815.0,129214.0,458.192,977.0
(주)SH에너지화학,2360,2018/09,123981.0,7171.0,87009.0,17392.0,106589.0,21819.0,3219.0,140844.0,7681.0,129620.0,1350.454,321.0
(주)SH에너지화학,2360,2019/09,125680.0,7578.0,85866.0,23463.0,102217.0,15996.0,-609.0,109751.0,7236.0,104045.0,1499.015,181.0
(주)SH에너지화학,2360,2020/09,118427.0,6978.0,73566.0,27450.0,90978.0,8633.0,-6410.0,66279.0,6658.0,67022.0,900.924,510.0
(주)SH에너지화학,2360,2021/09,119288.0,12611.0,77166.0,28393.0,90894.0,10151.0,523.0,99226.0,6811.0,92197.0,1115.193,327.0
(주)SH에너지화학,2360,2022/09,126449.0,10960.0,83125.0,31588.0,94861.0,22993.0,3127.0,127548.0,7540.0,118892.0,1649.338,375.0
(주)SIMPAC,9160,2011/09,284801.0,116570.0,146008.0,128165.0,156636.0,29600.0,20649.0,159241.0,11247.0,123748.0,39180.378,1837.0
(주)SIMPAC,9160,2012/09,318568.0,121273.0,163681.0,144448.0,174120.0,32111.0,19676.0,166222.0,12938.0,133325.0,46678.996,2075.0
(주)SIMPAC,9160,2013/09,335743.0,110979.0,160984.0,131553.0,204190.0,27095.0,16535.0,144749.0,12460.0,114932.0,37368.742,3092.0
(주)SIMPAC,9160,2014/09,431711.0,161321.0,154977.0,188488.0,243223.0,46627.0,34312.0,187795.0,19155.0,158986.0,48080.06,2731.0
