회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융비용
(주)DB하이텍,990,2011/06,1352263.0,577954.0,427809.0,977334.0,374930.0,80996.0,-10681.0,296884.0,62536.0,229201.0,28740559.0,29122.0
(주)DB하이텍,990,2012/06,1203348.0,566481.0,321451.0,920387.0,282960.0,84859.0,-23648.0,300267.0,58901.0,243131.0,28195584.0,26843.0
(주)DB하이텍,990,2013/06,1163972.0,528081.0,283769.0,915512.0,248460.0,99709.0,-26093.0,253692.0,49544.0,199061.0,42274287.0,34360.0
(주)DB하이텍,990,2014/06,1046430.0,495954.0,239662.0,867594.0,178836.0,76199.0,-18908.0,262324.0,46457.0,204922.0,37879822.0,34233.0
(주)DB하이텍,990,2015/06,1034293.0,407209.0,278242.0,793354.0,240939.0,90955.0,88228.0,296846.0,48652.0,202335.0,40109881.0,33066.0
(주)DB하이텍,990,2016/06,986416.0,168077.0,284739.0,651950.0,334465.0,71897.0,56814.0,373927.0,57527.0,231624.0,42667942.0,23075.0
(주)DB하이텍,990,2017/06,991637.0,131252.0,333217.0,572178.0,419459.0,84690.0,55009.0,365144.0,56085.0,212814.0,36113644.0,31113.0
(주)DB하이텍,990,2018/06,1034406.0,174782.0,401861.0,541387.0,493018.0,39645.0,46700.0,312506.0,50152.0,215852.0,36195496.0,9073.0
(주)DB하이텍,990,2019/06,1120980.0,168927.0,446816.0,543623.0,577357.0,49855.0,49625.0,373065.0,58113.0,243350.0,34599497.0,10521.0
(주)DB하이텍,990,2020/06,1123105.0,258247.0,395808.0,383174.0,739932.0,54794.0,109657.0,467454.0,55464.0,270260.0,34589182.0,9371.0
(주)DB하이텍,990,2021/06,1248286.0,245312.0,536711.0,360369.0,887916.0,51813.0,106758.0,518387.0,63547.0,312930.0,38554530.0,3331.0
(주)DB하이텍,990,2022/06,1812127.0,335818.0,1059406.0,430049.0,1382078.0,73552.0,295680.0,830767.0,72068.0,364032.0,50554227.0,5761.0
(주)HJ중공업,97230,2011/06,6110806.0,2332504.0,2789067.0,4172551.0,1938255.0,137598.0,-38995.0,1149896.0,55463.0,1096780.0,309833000.0,141725.0
(주)HJ중공업,97230,2012/06,5927061.0,1929044.0,2241405.0,4069194.0,1857867.0,176283.0,-23586.0,892372.0,52631.0,817577.0,211286000.0,92551.0
(주)HJ중공업,97230,2013/06,5671272.0,2236896.0,2123903.0,3690850.0,1980422.0,524948.0,-38115.0,976219.0,58756.0,869730.0,163131000.0,125420.0
(주)HJ중공업,97230,2014/06,5728326.0,2411642.0,1968377.0,4008042.0,1720284.0,466706.0,-81141.0,929954.0,50653.0,901437.0,319214000.0,101129.0
(주)HJ중공업,97230,2015/06,5152233.0,2104254.0,1853533.0,3475302.0,1676931.0,735244.0,-87597.0,987028.0,49329.0,991256.0,291245000.0,84442.0
(주)HJ중공업,97230,2016/06,4202093.0,1505253.0,1391639.0,2962449.0,1239644.0,514295.0,59339.0,1012851.0,47237.0,892386.0,178045000.0,74932.0
(주)HJ중공업,97230,2017/06,3714958.0,1553304.0,1776933.0,2972770.0,742188.0,448415.0,-137125.0,731663.0,52162.0,665241.0,149744000.0,84287.0
(주)HJ중공업,97230,2018/06,3217523.0,2481112.0,1291184.0,2673631.0,543892.0,575721.0,-32071.0,789145.0,44201.0,694055.0,181822000.0,56151.0
(주)HJ중공업,97230,2019/06,2309334.0,1183905.0,1219018.0,2071685.0,237649.0,477058.0,-88414.0,680710.0,57496.0,624619.0,186569000.0,84373.0
(주)HJ중공업,97230,2020/06,2283724.0,1677692.0,1147674.0,1973535.0,310189.0,204128.0,62684.0,824981.0,35819.0,772090.0,176980000.0,35164.0
(주)HJ중공업,97230,2021/06,2134878.0,1032295.0,995026.0,1878324.0,256554.0,166708.0,-62786.0,715154.0,44703.0,694662.0,199119000.0,26941.0
(주)HJ중공업,97230,2022/06,2401483.0,890113.0,905456.0,1993810.0,407673.0,181122.0,-23186.0,793052.0,42278.0,746007.0,185279000.0,30924.0
(주)MH에탄올,23150,2011/06,139667.0,72031.0,39712.0,84936.0,54731.0,5069.0,1747.0,22456.0,1833.0,16802.0,2425396.0,2796.0
(주)MH에탄올,23150,2012/06,137032.0,66739.0,25624.0,79743.0,57289.0,6513.0,1128.0,22413.0,1675.0,17842.0,1487617.0,2255.0
(주)MH에탄올,23150,2013/06,144697.0,69973.0,26304.0,83111.0,61586.0,7951.0,2815.0,22883.0,1780.0,16095.0,0.0,1605.0
