회사명,거래소코드,회계년도,자산,유동부채,유동자산,부채,자본,재고자산,당기순이익,매출액,판매비와 관리비,매출원가,매입채무,금융원가
(주)DB하이텍,990,2011/12,1199044.0,794705.0,279726.0,890982.0,308062.0,77113.0,-97947.0,552216.0,127164.0,460441.0,23196.334,61390.0
(주)DB하이텍,990,2012/12,1157755.0,555433.0,309144.0,866862.0,290893.0,79262.0,-31341.0,590786.0,112405.0,494003.0,17740.927,52419.0
(주)DB하이텍,990,2013/12,1058392.0,476868.0,222961.0,853635.0,204757.0,72378.0,-83047.0,493752.0,98862.0,404501.0,29717.748,60809.0
(주)DB하이텍,990,2014/12,984877.0,376437.0,247582.0,864174.0,120703.0,69180.0,-77009.0,567718.0,91345.0,430813.0,36235.325,74035.0
(주)DB하이텍,990,2015/12,984644.0,244045.0,337757.0,730586.0,254057.0,83460.0,126733.0,666595.0,104711.0,436916.0,44271.64,64326.0
(주)DB하이텍,990,2016/12,986789.0,274231.0,368924.0,644871.0,341917.0,76345.0,88344.0,773140.0,117582.0,483130.0,44199.479,44354.0
(주)DB하이텍,990,2017/12,993951.0,145225.0,353663.0,538153.0,455798.0,75019.0,110175.0,679738.0,110372.0,426171.0,33883.223,40858.0
(주)DB하이텍,990,2018/12,1066534.0,156796.0,383379.0,508142.0,558392.0,42892.0,86829.0,669279.0,102343.0,453943.0,36469.258,19469.0
(주)DB하이텍,990,2019/12,1088890.0,219716.0,426263.0,444239.0,644651.0,51838.0,104637.0,807416.0,112832.0,513293.0,30645.243,19925.0
(주)DB하이텍,990,2020/12,1178581.0,261704.0,459208.0,383997.0,794585.0,51849.0,166026.0,935920.0,119550.0,577035.0,36813.081,15859.0
(주)DB하이텍,990,2021/12,1549938.0,335337.0,815162.0,443888.0,1106050.0,66017.0,316892.0,1214682.0,136090.0,679485.0,44247.176,6282.0
(주)DB하이텍,990,2022/12,2122700.0,404354.0,1327724.0,484416.0,1638284.0,73769.0,558837.0,1675288.0,164471.0,742070.0,48542.143,19677.0
(주)HJ중공업,97230,2011/12,7036680.0,2482598.0,2391530.0,5169832.0,1866848.0,360584.0,-96852.0,2891499.0,139646.0,2664558.0,214421.0,254297.0
(주)HJ중공업,97230,2012/12,6585093.0,2448324.0,2274211.0,4869577.0,1715516.0,223809.0,-52837.0,2549319.0,138145.0,2358260.0,247973.0,269305.0
(주)HJ중공업,97230,2013/12,6683379.0,3284862.0,2788908.0,5044381.0,1638998.0,601781.0,-188999.0,2529341.0,134547.0,2464368.0,228311.0,208469.0
(주)HJ중공업,97230,2014/12,6470284.0,2843001.0,2647534.0,4897208.0,1573076.0,655829.0,-299332.0,2520325.0,128054.0,2537259.0,292809.0,215817.0
(주)HJ중공업,97230,2015/12,5914637.0,3430218.0,2429499.0,4546048.0,1368589.0,873978.0,-260874.0,3115473.0,190406.0,3004437.0,352916.0,215381.0
(주)HJ중공업,97230,2016/12,5256464.0,2636927.0,2372221.0,4361281.0,895183.0,675011.0,-334440.0,2813271.0,139045.0,2753545.0,291798.0,165286.0
(주)HJ중공업,97230,2017/12,4206655.0,3329421.0,1894161.0,3629457.0,577198.0,709533.0,-278007.0,2452314.0,137941.0,2431066.0,279484.0,163715.0
(주)HJ중공업,97230,2018/12,2733620.0,2140149.0,1720906.0,3441806.0,-708186.0,519198.0,-1283846.0,1697869.0,79104.0,1557089.0,197744.0,115302.0
(주)HJ중공업,97230,2019/12,2470222.0,1845223.0,1300538.0,2225228.0,244994.0,363759.0,305753.0,1628751.0,93645.0,1451267.0,166881.0,129620.0
(주)HJ중공업,97230,2020/12,2193855.0,1034561.0,1067516.0,1873852.0,320003.0,167158.0,78304.0,1695815.0,78842.0,1565344.0,206438.0,60018.0
(주)HJ중공업,97230,2021/12,2385236.0,949994.0,948999.0,1953231.0,432005.0,147110.0,-139834.0,1706532.0,88464.0,1727059.0,224282.0,57130.0
(주)HJ중공업,97230,2022/12,2567697.0,1418222.0,1430318.0,2182707.0,384990.0,200698.0,-50162.0,1788163.0,90010.0,1691528.0,229426.0,60892.0
(주)MH에탄올,23150,2011/12,134207.0,78267.0,45678.0,91540.0,42667.0,9735.0,-4276.0,44785.0,7016.0,37259.0,10.717,5698.0
(주)MH에탄올,23150,2012/12,134386.0,81625.0,50010.0,94708.0,39678.0,20567.0,411.0,59768.0,5286.0,49030.0,15.202,5871.0
(주)MH에탄올,23150,2013/12,129698.0,75261.0,43178.0,83812.0,45886.0,12486.0,7155.0,62200.0,4873.0,54317.0,3.722,3836.0
(주)MH에탄올,23150,2014/12,85535.0,31619.0,28731.0,32746.0,52789.0,6987.0,-188.0,48984.0,3129.0,37110.0,0.0,1723.0
(주)MH에탄올,23150,2015/12,78996.0,20539.0,22501.0,21112.0,57884.0,3603.0,7779.0,50386.0,2869.0,36425.0,0.0,894.0
(주)MH에탄올,23150,2016/12,72340.0,7641.0,19709.0,8758.0,63582.0,5539.0,8145.0,48897.0,3060.0,33962.0,0.0,419.0
(주)MH에탄올,23150,2017/12,500180.0,189894.0,84768.0,393343.0,106837.0,5609.0,6747.0,51977.0,6635.0,37226.0,457.631,4965.0
(주)MH에탄올,23150,2018/12,440178.0,141080.0,29576.0,348592.0,91585.0,6538.0,-596.0,72796.0,18043.0,53525.0,627.047,13111.0
(주)MH에탄올,23150,2019/12,451474.0,282351.0,32815.0,372085.0,79389.0,8173.0,-525.0,80879.0,18831.0,54219.0,528.575,10848.0
(주)MH에탄올,23150,2020/12,449679.0,146139.0,37729.0,369254.0,80425.0,8357.0,6826.0,94645.0,19039.0,59824.0,496.354,12312.0
(주)MH에탄올,23150,2021/12,451461.0,297330.0,52074.0,366757.0,84703.0,9186.0,5911.0,102067.0,20520.0,58211.0,541.838,12251.0
(주)MH에탄올,23150,2022/12,447440.0,190942.0,52735.0,352043.0,95398.0,8773.0,4985.0,110722.0,21336.0,67462.0,631.879,11896.0
(주)SH에너지화학,2360,2011/12,104711.0,34077.0,50355.0,39468.0,65242.0,11114.0,2067.0,173209.0,8845.0,160790.0,955.253,2293.0
(주)SH에너지화학,2360,2012/12,103690.0,29500.0,50509.0,38809.0,64881.0,14211.0,387.0,193950.0,12938.0,178829.0,2215.544,2826.0
(주)SH에너지화학,2360,2013/12,110489.0,35131.0,59052.0,40890.0,69599.0,11944.0,4824.0,231912.0,11536.0,213952.0,2599.202,2250.0
(주)SH에너지화학,2360,2014/12,110741.0,20681.0,60326.0,26504.0,84237.0,13898.0,16320.0,230913.0,11979.0,197662.0,2223.255,1484.0
(주)SH에너지화학,2360,2015/12,115521.0,17081.0,68214.0,23875.0,91646.0,11899.0,12579.0,216441.0,14356.0,179135.0,1103.755,924.0
(주)SH에너지화학,2360,2016/12,124489.0,12512.0,84223.0,20400.0,104089.0,11572.0,17918.0,218398.0,14537.0,179759.0,1504.713,790.0
(주)SH에너지화학,2360,2017/12,125312.0,8284.0,87597.0,17619.0,107693.0,19986.0,9567.0,188115.0,12109.0,161824.0,1775.928,1687.0
(주)SH에너지화학,2360,2018/12,122435.0,6659.0,85759.0,17044.0,105391.0,22254.0,2306.0,183599.0,10168.0,171330.0,969.166,409.0
(주)SH에너지화학,2360,2019/12,123416.0,7525.0,83559.0,24416.0,99000.0,16753.0,-2853.0,140853.0,9799.0,134184.0,1033.114,401.0
(주)SH에너지화학,2360,2020/12,117357.0,7398.0,72449.0,27348.0,90008.0,9594.0,-6827.0,93584.0,8940.0,92496.0,1300.051,1007.0
(주)SH에너지화학,2360,2021/12,119629.0,13060.0,78260.0,27890.0,91739.0,12326.0,622.0,139802.0,9590.0,129869.0,1551.279,428.0
(주)SH에너지화학,2360,2022/12,124160.0,10759.0,81703.0,30059.0,94101.0,21341.0,1842.0,167356.0,10156.0,156395.0,1603.249,1063.0
(주)SIMPAC,9160,2011/12,310879.0,116979.0,152885.0,141938.0,168941.0,26468.0,24977.0,215366.0,16068.0,170410.0,37822.973,2998.0
(주)SIMPAC,9160,2012/12,318666.0,108359.0,152758.0,130805.0,187861.0,25351.0,19286.0,225353.0,17300.0,182862.0,37650.525,2908.0
(주)SIMPAC,9160,2013/12,361986.0,133795.0,108635.0,153155.0,208831.0,25646.0,20044.0,205751.0,17747.0,164405.0,38556.438,3764.0
(주)SIMPAC,9160,2014/12,381939.0,136708.0,144850.0,162814.0,219125.0,40716.0,14319.0,263152.0,25726.0,220085.0,46030.344,4585.0
(주)SIMPAC,9160,2015/12,422833.0,169308.0,174087.0,190826.0,232008.0,56209.0,16437.0,269528.0,26874.0,221413.0,53845.716,3403.0
(주)SIMPAC,9160,2016/12,417865.0,155345.0,176779.0,177449.0,240417.0,45959.0,16184.0,267074.0,25794.0,217714.0,46855.264,4090.0
(주)SIMPAC,9160,2017/12,381158.0,130651.0,150672.0,140332.0,240826.0,39255.0,12896.0,230635.0,25927.0,193010.0,29467.361,6447.0
(주)SIMPAC,9160,2018/12,681751.0,228519.0,310736.0,246718.0,435033.0,110043.0,69199.0,306151.0,23965.0,271995.0,43116.64,3716.0
(주)SIMPAC,9160,2019/12,679146.0,219490.0,289195.0,237950.0,441195.0,88167.0,9488.0,430085.0,33639.0,385305.0,32704.191,4725.0
(주)SIMPAC,9160,2020/12,737278.0,249080.0,353238.0,273292.0,463986.0,131733.0,34139.0,365863.0,29891.0,328185.0,46995.987,12688.0
(주)SIMPAC,9160,2021/12,903230.0,331371.0,542192.0,356567.0,546662.0,170336.0,90833.0,613013.0,53035.0,453576.0,40384.548,23842.0
(주)SIMPAC,9160,2022/12,965098.0,339350.0,576767.0,365416.0,599683.0,209245.0,76137.0,672229.0,56695.0,496588.0,15145.691,31843.0
(주)SNT에너지,100840,2011/12,276512.0,96002.0,145463.0,115916.0,160596.0,15422.0,-4156.0,195319.0,20812.0,181220.0,44474.696,7487.0
(주)SNT에너지,100840,2012/12,292802.0,88443.0,161464.0,109496.0,183306.0,17407.0,9088.0,230708.0,23736.0,191839.0,39641.985,8121.0
(주)SNT에너지,100840,2013/12,311675.0,91989.0,181309.0,113511.0,198165.0,17793.0,16190.0,200751.0,22138.0,161808.0,37857.624,3793.0
(주)SNT에너지,100840,2014/12,304512.0,76613.0,170495.0,96799.0,207713.0,17747.0,11264.0,242747.0,25358.0,203611.0,31040.007,6528.0
(주)SNT에너지,100840,2015/12,316196.0,64293.0,184059.0,84796.0,231400.0,10694.0,27030.0,260094.0,23871.0,202305.0,29685.849,5336.0
(주)SNT에너지,100840,2016/12,348042.0,102182.0,211766.0,118243.0,229800.0,6779.0,1660.0,254090.0,47914.0,204980.0,23920.463,5260.0
(주)SNT에너지,100840,2017/12,300267.0,49129.0,172920.0,66449.0,233817.0,2324.0,4582.0,184092.0,18840.0,146050.0,16893.34,17597.0
(주)SNT에너지,100840,2018/12,280992.0,31555.0,155524.0,49715.0,231276.0,5692.0,1825.0,139516.0,22658.0,118750.0,13110.417,1985.0
(주)SNT에너지,100840,2019/12,333897.0,67470.0,204987.0,88942.0,244955.0,10209.0,15452.0,213327.0,18218.0,177635.0,23420.417,2956.0
(주)SNT에너지,100840,2020/12,335352.0,80879.0,203747.0,99579.0,235773.0,6106.0,9788.0,237400.0,16963.0,197311.0,32211.404,15390.0
(주)SNT에너지,100840,2021/12,332143.0,66164.0,199665.0,87294.0,244849.0,2661.0,12503.0,171088.0,15441.0,142367.0,23742.454,2585.0
(주)SNT에너지,100840,2022/12,429773.0,99796.0,253392.0,174342.0,255431.0,11338.0,15099.0,202879.0,18559.0,180758.0,38504.006,17682.0
(주)SNT홀딩스,36530,2011/12,2124828.0,597786.0,1041841.0,813821.0,1311007.0,274834.0,31918.0,1663846.0,123824.0,1449349.0,371854.324,27692.0
(주)SNT홀딩스,36530,2012/12,2074904.0,540251.0,998858.0,756881.0,1318023.0,280541.0,27206.0,1668750.0,117888.0,1465169.0,318705.541,28374.0
(주)SNT홀딩스,36530,2013/12,2149176.0,569274.0,1070812.0,774811.0,1374365.0,311174.0,22768.0,1576368.0,112368.0,1379202.0,317382.506,20573.0
(주)SNT홀딩스,36530,2014/12,2039389.0,477795.0,994978.0,683348.0,1356041.0,283952.0,29790.0,1552375.0,106746.0,1380124.0,257490.442,23005.0
(주)SNT홀딩스,36530,2015/12,2169311.0,433770.0,1140794.0,640062.0,1529249.0,268781.0,32826.0,1612747.0,119866.0,1331347.0,216310.412,23235.0
(주)SNT홀딩스,36530,2016/12,2210178.0,487108.0,1205349.0,679286.0,1530893.0,236909.0,2752.0,1537700.0,128799.0,1336618.0,235495.857,32723.0
(주)SNT홀딩스,36530,2017/12,2146175.0,448822.0,1187728.0,626882.0,1519293.0,215870.0,6796.0,1508152.0,144143.0,1303372.0,244821.803,56734.0
(주)SNT홀딩스,36530,2018/12,2113835.0,381613.0,1168023.0,610559.0,1503275.0,220257.0,27438.0,1401307.0,107537.0,1221120.0,225133.544,23271.0
(주)SNT홀딩스,36530,2019/12,2236679.0,405604.0,1266526.0,610746.0,1625933.0,229810.0,62523.0,1512115.0,101666.0,1284171.0,199204.201,17499.0
(주)SNT홀딩스,36530,2020/12,2270486.0,461443.0,1241962.0,652957.0,1617529.0,216343.0,37400.0,1435755.0,81557.0,1227112.0,244895.71,40695.0
(주)SNT홀딩스,36530,2021/12,2372324.0,412516.0,1327473.0,592194.0,1780130.0,228721.0,77215.0,1404072.0,88052.0,1190453.0,189119.347,7166.0
(주)SNT홀딩스,36530,2022/12,2558427.0,562177.0,1504308.0,742131.0,1816296.0,310013.0,51412.0,1629521.0,109146.0,1375682.0,261711.226,37544.0
(주)STX,11810,2011/12,5234175.0,2041868.0,1430457.0,3318233.0,1915942.0,315306.0,221036.0,5967701.0,217072.0,5516021.0,357994.0,350326.0
(주)STX,11810,2012/12,5067029.0,2363189.0,1484305.0,3560390.0,1506639.0,182590.0,-503142.0,6159850.0,217053.0,6353608.0,335789.0,286469.0
(주)STX,11810,2013/12,1342520.0,1278680.0,793607.0,1852183.0,-509663.0,94076.0,-1584818.0,2449401.0,270312.0,3140865.0,199238.0,453478.0
(주)STX,11810,2014/12,1255002.0,788697.0,893610.0,1161340.0,93662.0,207648.0,380584.0,1634606.0,85552.0,1513363.0,128067.0,208613.0
(주)STX,11810,2015/12,1267224.0,866685.0,902119.0,1194882.0,72342.0,316312.0,-48982.0,1630827.0,78916.0,1586081.0,168094.0,176559.0
(주)STX,11810,2016/12,707709.0,974743.0,486347.0,1038305.0,-330596.0,226131.0,-457446.0,1720153.0,118928.0,1635394.0,93777.0,296332.0
(주)STX,11810,2017/12,627542.0,553981.0,475786.0,584982.0,42560.0,181620.0,334386.0,1803878.0,41253.0,1718572.0,116542.0,165532.0
(주)STX,11810,2018/12,554061.0,463598.0,422861.0,490033.0,64028.0,129417.0,9107.0,1502985.0,34715.0,1483048.0,76685.0,81511.0
(주)STX,11810,2019/12,560107.0,439806.0,386401.0,503816.0,56291.0,118778.0,-32810.0,1471164.0,44719.0,1424697.0,102262.0,94920.0
(주)STX,11810,2020/12,617563.0,458274.0,319912.0,535834.0,81729.0,102015.0,-20350.0,975567.0,40869.0,935191.0,103467.0,101462.0
(주)STX,11810,2021/12,676149.0,448391.0,366237.0,553619.0,122530.0,111881.0,-15275.0,925509.0,46305.0,870164.0,124360.0,58859.0
(주)STX,11810,2022/12,741784.0,541861.0,465066.0,639377.0,102407.0,91873.0,-13554.0,1188575.0,49584.0,1140946.0,98020.0,114744.0
(주)TCC스틸,2710,2011/12,454330.0,165590.0,183481.0,228888.0,225442.0,79633.0,4558.0,514424.0,30601.0,472274.0,36286.014,15192.0
(주)TCC스틸,2710,2012/12,547014.0,191715.0,218441.0,321015.0,225999.0,100649.0,161.0,501337.0,37476.0,457928.0,41180.366,17438.0
(주)TCC스틸,2710,2013/12,543709.0,155752.0,220035.0,337970.0,205738.0,117185.0,-18985.0,500833.0,34474.0,474105.0,38783.69,19513.0
(주)TCC스틸,2710,2014/12,551001.0,283660.0,233224.0,361963.0,189038.0,124344.0,-15114.0,518995.0,35062.0,483588.0,37920.178,23778.0
(주)TCC스틸,2710,2015/12,376395.0,153615.0,240184.0,290382.0,86012.0,48966.0,-109524.0,495796.0,28004.0,451937.0,38223.007,37274.0
