회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융비용(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)CMG제약,058820,2011/03,28500,4970,13022,9040,19460,3104,78,3590,1701,1871,1228473,0,34
(주)CMG제약,058820,2012/03,29126,8147,17025,9817,19309,3654,26,3882,1978,1828,1435107,0,46
(주)CMG제약,058820,2013/03,57196,7654,47307,25549,31647,3516,157,5069,1551,3265,5794837,0,380
(주)CMG제약,058820,2014/03,57297,6295,37901,7824,49472,4387,405,5736,1948,3447,4068445,0,30
(주)CMG제약,058820,2015/03,58359,8584,27915,9037,49322,5547,192,6029,2151,3737,4837948,0,32
(주)CMG제약,058820,2016/03,57393,9405,26653,10273,47120,6536,191,7542,2988,4390,6983251,0,3
(주)CMG제약,058820,2017/03,111534,9077,80071,9975,101559,7347,451,9362,3541,5527,5381225,0,0
(주)CMG제약,058820,2018/03,111123,11167,82310,12238,98885,8520,962,11552,4588,6307,6953266,0,2
(주)CMG제약,058820,2019/03,117047,10012,80612,12497,104551,8718,527,13126,5834,6925,5776795,0,7
(주)CMG제약,058820,2020/03,196137,11204,150400,14525,181612,11203,1219,14548,7031,7294,6144073,0,49
(주)CMG제약,058820,2021/03,195719,12047,146210,13000,182719,15228,1293,15781,7675,7980,4165704,0,17
(주)CMG제약,058820,2022/03,210185,18154,132669,25030,185155,13453,189,19060,8575,9775,5237010,0,1547
(주)ES큐브,050120,2011/03,49081,7826,26540,9130,39951,530,-1841,11584,4337,9096,4617824,0,10
(주)ES큐브,050120,2012/03,47823,4525,19833,5908,41915,359,2836,14927,2358,10144,1981856,0,302
(주)ES큐브,050120,2013/03,47652,4551,18739,6212,41440,340,1547,14551,3326,10220,2012776,0,435
