회사명,거래소코드,회계년도,자산(*)(요약)(IFRS연결)(백만원),유동부채(*)(요약)(IFRS연결)(백만원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),자본(*)(요약)(IFRS연결)(백만원),재고자산(요약)(IFRS연결)(백만원),당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS연결)(백만원),매출원가(요약)(IFRS연결)(백만원),매입채무(IFRS연결)(천원),금융비용(IFRS연결)(천원),금융원가(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/03,,,,,,,,,,,,,
(주)CMG제약,058820,2012/03,,,,,,,,,,,,,
(주)CMG제약,058820,2013/03,57224,7711,47238,25608,31616,3516,137,5069,1585,3265,5794837,0,363
(주)CMG제약,058820,2014/03,57245,6299,37850,7828,49418,4387,401,5736,1949,3447,4068445,0,30
(주)CMG제약,058820,2015/03,58298,8591,27854,9044,49254,5547,188,6029,2152,3737,4837948,0,32
(주)CMG제약,058820,2016/03,57347,9412,26607,10280,47067,6536,204,7542,2988,4390,6983251,0,0
(주)CMG제약,058820,2017/03,111534,9077,80071,9975,101559,7347,451,9362,3541,5527,5381225,0,0
(주)CMG제약,058820,2018/03,111123,11167,82310,12238,98885,8520,962,11552,4588,6307,6953266,0,2
(주)CMG제약,058820,2019/03,117047,10012,80612,12497,104551,8718,527,13126,5834,6925,5776795,0,7
(주)CMG제약,058820,2020/03,196137,11204,150400,14525,181612,11203,1219,14548,7031,7294,6144073,0,49
(주)CMG제약,058820,2021/03,,,,,,,,,,,,,
(주)CMG제약,058820,2022/03,,,,,,,,,,,,,
(주)ES큐브,050120,2011/03,,,,,,,,,,,,,
(주)ES큐브,050120,2012/03,,,,,,,,,,,,,
(주)ES큐브,050120,2013/03,49034,5494,25509,7200,41834,6040,1816,15810,4018,10534,1388294,0,520
(주)ES큐브,050120,2014/03,47415,3670,38112,4649,42765,6046,627,12841,2816,9972,999709,0,258
(주)ES큐브,050120,2015/03,57269,6061,46297,6938,50331,6359,958,10153,2379,7530,1196941,0,515
(주)ES큐브,050120,2016/03,66348,2850,57677,3349,62999,4183,20161,13751,2527,10243,998949,0,850
(주)ES큐브,050120,2017/03,105231,2898,50353,33226,72006,4974,691,11920,1860,8749,837271,0,1083
(주)ES큐브,050120,2018/03,123191,13730,58120,43215,79976,8858,5142,10411,2014,8027,1093111,0,612
(주)ES큐브,050120,2019/03,110759,36406,41246,40408,70351,7675,-853,9374,2537,7163,256756,0,620
(주)ES큐브,050120,2020/03,515601,59003,371846,443899,71703,5395,-1861,19848,3412,15251,704909,5742982,2341
(주)ES큐브,050120,2021/03,933852,453182,504269,856335,77517,11750,7715,28184,3518,17122,2258628,10012760,448
(주)ES큐브,050120,2022/03,110139,8787,28864,11716,98424,17257,2349,21405,2478,19650,3811592,10903507,269
(주)가비아,079940,2011/03,,,,,,,,,,,,,
(주)가비아,079940,2012/03,82235,20578,25841,31178,51057,14,870,14756,5066,8259,1403140,0,105
(주)가비아,079940,2013/03,88071,14318,33813,25671,62399,249,2812,17752,5821,10003,1855156,0,194
(주)가비아,079940,2014/03,94584,16503,38610,24238,70346,91,771,20184,6269,11617,2061112,0,97
(주)가비아,079940,2015/03,99357,14232,43951,21893,77464,0,1528,22209,7546,12581,2833464,0,73
(주)가비아,079940,2016/03,108200,14446,54865,22208,85992,6,1348,23626,7561,12970,2581557,0,35
(주)가비아,079940,2017/03,127735,21511,61079,30845,96890,1838,780,27467,10297,14459,4346691,0,104
(주)가비아,079940,2018/03,137260,31019,70438,36034,101226,2250,1678,30238,10732,15996,7501365,0,85
(주)가비아,079940,2019/03,179907,44711,77783,62834,117073,2633,2187,32832,11087,17228,7212383,0,279
(주)가비아,079940,2020/03,211091,45611,91346,74404,136687,2470,2178,39069,13117,20264,4951010,0,1305
(주)가비아,079940,2021/03,261560,49587,127995,84887,176673,4394,2969,43177,14429,22357,5999194,0,170
(주)가비아,079940,2022/03,309695,60524,164185,98904,210791,9923,4401,55176,16488,29347,9298740,0,215
(주)강스템바이오텍,217730,2016/03,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/03,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2018/03,48138,6597,23692,21884,26254,2665,966,1157,3057,571,725344,0,274
(주)강스템바이오텍,217730,2019/03,76126,27147,48854,33375,42752,2183,-4426,866,4800,1064,0,0,278
(주)강스템바이오텍,217730,2020/03,94336,8990,37162,32995,61341,298,-7442,1337,5269,1725,394581,0,2776
(주)강스템바이오텍,217730,2021/03,76301,11382,37791,32908,43393,342,-5143,1300,5313,1307,435959,0,227
(주)강스템바이오텍,217730,2022/03,95927,20624,59089,34877,61050,797,-5132,3509,6925,2141,357472,0,168
(주)강원에너지,114190,2011/02,,,,,,,,,,,,,
(주)강원에너지,114190,2012/03,,,,,,,,,,,,,
(주)강원에너지,114190,2013/03,,,,,,,,,,,,,
(주)강원에너지,114190,2014/03,,,,,,,,,,,,,
(주)강원에너지,114190,2015/03,,,,,,,,,,,,,
(주)강원에너지,114190,2016/03,82434,15247,59070,25276,57158,1326,134,13675,2007,11592,8439684,0,373
(주)강원에너지,114190,2017/03,73505,9012,48512,19039,54467,315,-671,10553,1456,9016,4643222,0,103
(주)강원에너지,114190,2018/03,91372,32121,65573,43399,47973,584,-1060,24596,1308,23991,11367717,0,486
(주)강원에너지,114190,2019/03,94314,42096,64269,42584,51730,544,-1252,8415,1319,8371,5566813,0,733
(주)강원에너지,114190,2020/03,62604,28615,42245,33691,28913,872,-1525,10057,2642,9490,5564189,0,923
(주)강원에너지,114190,2021/03,33870,11167,21897,15323,18547,609,1470,11009,602,10193,2818155,0,126
(주)강원에너지,114190,2022/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2018/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2019/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2020/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2021/03,,,,,,,,,,,,,
(주)고려시멘트,198440,2022/03,,,,,,,,,,,,,
(주)고바이오랩,348150,2021/03,57925,2316,57189,2394,55531,324,-2965,714,3835,153,253183,0,3
(주)고바이오랩,348150,2022/03,108327,7382,97034,21342,86986,413,-3644,1054,5230,283,135794,0,371
(주)고영테크놀러지,098460,2011/03,,,,,,,,,,,,,
(주)고영테크놀러지,098460,2012/03,,,,,,,,,,,,,
(주)고영테크놀러지,098460,2013/03,108336,19236,82884,23955,84381,20728,2426,21803,9716,10087,10493603,0,16
(주)고영테크놀러지,098460,2014/03,130038,23933,103126,29239,100798,20957,5445,33693,11723,15527,12671388,0,26
(주)고영테크놀러지,098460,2015/03,147144,25547,113720,31098,116046,19274,3963,31570,12625,12792,10990045,0,415
(주)고영테크놀러지,098460,2016/03,169193,29112,131800,35973,133220,21488,5320,37003,17243,13827,12356259,0,468
(주)고영테크놀러지,098460,2017/03,193246,30532,152058,41025,152221,19781,738,43243,20010,15238,13556218,0,1701
(주)고영테크놀러지,098460,2018/03,258528,47933,211168,60253,198276,27190,8067,48957,21773,17881,17661414,0,171
(주)고영테크놀러지,098460,2019/03,280757,43834,223255,59914,220843,32657,7134,47830,23628,17478,12384997,0,32
(주)고영테크놀러지,098460,2020/03,312865,42155,234026,65130,247734,39564,10798,50734,25170,19690,10934516,0,76
(주)고영테크놀러지,098460,2021/03,323364,48222,243236,73412,249952,41045,10895,58774,27095,22251,16403778,0,52
(주)고영테크놀러지,098460,2022/03,380353,60718,282834,101177,279177,46334,10856,68314,31948,24813,19499877,0,183
(주)골드앤에스,035290,2011/03,,,,,,,,,,,,,
(주)골드앤에스,035290,2012/03,,,,,,,,,,,,,
(주)골드앤에스,035290,2013/03,64200,24925,23178,35748,28452,3273,45,11339,3660,7459,1863314,0,252
(주)골드앤에스,035290,2014/03,52527,31841,18157,40045,12482,3437,-441,9592,3406,6512,1785601,0,368
(주)골드앤에스,035290,2015/03,44728,24321,12876,32409,12318,3023,-852,6294,2374,4590,678614,0,371
(주)골드앤에스,035290,2016/03,20624,5712,12437,6407,14217,2613,148,4775,1501,3178,526833,0,48
(주)골드앤에스,035290,2017/03,18655,3692,9037,4444,14211,1911,104,3983,1525,2354,704069,0,13
(주)골드앤에스,035290,2018/03,18601,3531,14500,5647,12953,1105,-1112,2474,2533,1220,394745,0,64
(주)골드앤에스,035290,2019/03,40320,27693,15664,28675,11645,1362,-3202,1882,3283,888,158103,0,918
(주)골드앤에스,035290,2020/03,20548,19859,5099,20035,513,1018,-487,1506,1190,653,32185,0,252
(주)골드앤에스,035290,2021/03,25821,3835,15318,10431,15391,513,-485,1341,946,367,83531,0,92
(주)골드앤에스,035290,2022/03,26544,3688,12787,11061,15483,448,307,4412,515,3598,260721,0,109
(주)골프존,215000,2016/03,189577,76391,89929,94573,95004,2977,11033,56764,23572,18544,3291267,0,192
(주)골프존,215000,2017/03,196925,66403,104697,76466,120459,10994,10548,58806,21262,23204,3904164,0,179
(주)골프존,215000,2018/03,257906,64113,167151,75560,182346,14505,7948,43520,19917,13097,2243273,0,411
(주)골프존,215000,2019/03,295955,73541,148026,101325,194630,11302,11129,60527,24111,21573,3186410,0,278
(주)골프존,215000,2020/03,331047,77041,92260,131395,199651,11649,11813,72749,30576,26844,4354527,0,324
(주)골프존,215000,2021/03,393366,102531,147275,161697,231669,12591,21877,99396,35384,35569,6801992,0,568
(주)골프존,215000,2022/03,525778,147611,262881,216629,309149,28177,39138,153866,44980,58183,10048488,0,494
(주)골프존뉴딘홀딩스,121440,2012/03,,,,,,,,,,,,,
(주)골프존뉴딘홀딩스,121440,2013/03,586115,145907,304482,147485,438629,22394,13954,84789,24257,41065,12181290,0,2519
(주)골프존뉴딘홀딩스,121440,2014/03,687255,241887,243521,242946,444309,37350,35775,115783,24545,54425,14111907,0,4433
(주)골프존뉴딘홀딩스,121440,2015/03,641734,153017,147229,241248,400485,28139,882428,25919,12109,22659,6998430,0,1259
(주)골프존뉴딘홀딩스,121440,2016/03,770840,127000,103495,247632,523208,29076,-3505,40752,17153,25805,11085760,0,1819
(주)골프존뉴딘홀딩스,121440,2017/03,761494,81369,105064,246055,515439,37677,-6165,42205,21255,23980,13511098,0,3668
(주)골프존뉴딘홀딩스,121440,2018/03,834105,200681,141951,300843,533262,50598,37203,40327,20094,24790,16120110,0,2031
(주)골프존뉴딘홀딩스,121440,2019/03,820430,198343,115367,346687,473743,53138,-7136,47956,23040,28612,17195076,0,2511
(주)골프존뉴딘홀딩스,121440,2020/03,785137,76358,136594,341652,443485,58773,1213,50951,20431,28440,20644558,0,2450
(주)골프존뉴딘홀딩스,121440,2021/03,816555,166046,175608,343811,472744,59285,8050,74320,20132,43478,30117901,0,2871
(주)골프존뉴딘홀딩스,121440,2022/03,984775,194368,164763,371857,612918,91563,16682,112614,24843,65782,45398945,0,1955
(주)공구우먼,366030,2022/03,,,,,,,,,,,,,
(주)광림,014200,2011/03,,,,,,,,,,,,,
(주)광림,014200,2012/03,,,,,,,,,,,,,
(주)광림,014200,2013/03,,,,,,,,,,,,,
(주)광림,014200,2014/03,233675,85046,141413,112670,121005,80628,-69,53441,12267,40376,28989521,0,1192
(주)광림,014200,2015/03,245656,88311,150210,118312,127345,86169,-1187,50002,14000,37638,18804900,0,1159
(주)광림,014200,2016/03,,,,,,,,,,,,,
(주)광림,014200,2017/03,221848,84636,83248,110589,111259,24748,-2646,36263,2751,35389,27333008,0,585
(주)광림,014200,2018/03,210756,78011,80393,105515,105241,23352,-2000,25461,4764,23195,22905887,0,1088
(주)광림,014200,2019/03,186174,91348,69435,99489,86685,27103,-1112,27414,5184,26507,22621110,0,781
(주)광림,014200,2020/03,260437,150691,117311,163631,96806,27810,3751,43660,4225,36449,21533498,0,4293
(주)광림,014200,2021/03,211793,124703,93753,132616,79177,27197,-560,34466,4130,30234,22724107,0,1882
(주)광림,014200,2022/03,276354,123177,120875,129411,146943,38167,34,46190,4098,37921,20031803,0,3008
(주)광무,029480,2011/03,,,,,,,,,,,,,
(주)광무,029480,2012/03,,,,,,,,,,,,,
(주)광무,029480,2013/03,52069,18315,20313,24490,27579,7334,-1926,5220,3714,3380,1966388,0,458
(주)광무,029480,2014/03,35639,20828,14658,27495,8144,225,-642,9146,2012,7432,7294823,0,377
(주)광무,029480,2015/03,,,,,,,,,,,,,
(주)광무,029480,2016/03,,,,,,,,,,,,,
(주)광무,029480,2017/03,,,,,,,,,,,,,
(주)광무,029480,2018/03,,,,,,,,,,,,,
(주)광무,029480,2019/03,25483,12100,14450,15206,10277,739,-743,5411,3461,2373,2287098,0,181
(주)광무,029480,2020/03,56068,30332,31225,34504,21564,580,-976,5912,3837,3479,1285878,0,1468
(주)광무,029480,2021/03,48999,24008,25204,26614,22385,192,-2122,3830,1190,3275,1067698,0,2228
(주)광무,029480,2022/03,115734,60219,93307,62482,53252,902,-1037,3124,1274,2580,1536115,0,1700
(주)구영테크,053270,2011/03,,,,,,,,,,,,,
(주)구영테크,053270,2012/03,,,,,,,,,,,,,
