회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)CMG제약,058820,2011/09,29478,6390,14760,9461,20016,3352,572,12277,5612,6956,0,146
(주)CMG제약,058820,2012/09,45516,7958,33764,29843,15673,2421,-3364,12368,6279,8503,0,508
(주)CMG제약,058820,2013/09,56983,6391,40819,7959,49024,4849,553,15106,5157,8892,4738783,1278
(주)CMG제약,058820,2014/09,57703,6787,28763,8394,49309,4802,277,16989,6140,10585,4274791,183
(주)CMG제약,058820,2015/09,58320,7530,27111,8220,50100,5034,-718,19625,8270,12277,4100329,80
(주)CMG제약,058820,2016/09,58009,8090,26552,9167,48841,6692,1097,24113,8621,14457,4972929,0
(주)CMG제약,058820,2017/09,115589,9988,79685,11753,103836,7220,2536,30803,11123,17579,6756590,8
(주)CMG제약,058820,2018/09,112369,10597,83056,12399,99970,9054,2009,36431,14866,19778,6186464,14
(주)CMG제약,058820,2019/09,193088,9860,153837,13237,179851,9990,2705,42599,19176,21811,5197225,27
(주)CMG제약,058820,2020/09,203087,15855,153841,19796,183292,13819,2674,47601,21547,24728,9804031,357
(주)CMG제약,058820,2021/09,197402,11235,141196,12776,184626,13147,2988,51611,23450,26413,2845574,676
(주)CMG제약,058820,2022/09,213279,16347,128726,23298,189981,17213,4660,60403,26849,30188,6788263,4766
(주)ES큐브,050120,2011/09,45554,3277,20340,4286,41267,349,-1028,34401,11332,24193,993054,1555
(주)ES큐브,050120,2012/09,48479,4387,17498,5908,42571,321,3311,37620,7269,27196,2784176,679
(주)ES큐브,050120,2013/09,63464,3795,36558,5018,58445,478,47,40578,9404,29712,2508005,1427
(주)ES큐브,050120,2014/09,49176,3198,35216,4070,45107,601,1529,32356,5006,26903,2412526,919
(주)ES큐브,050120,2015/09,49993,4583,26326,5204,44789,437,3572,32252,2744,27252,4079942,964
(주)ES큐브,050120,2016/09,104923,3185,45618,34591,70331,609,17209,29564,2877,24631,0,1413
(주)ES큐브,050120,2017/09,107442,6577,46461,36237,71205,336,1593,32556,3148,27106,5001282,1567
(주)ES큐브,050120,2018/09,118731,40713,44165,45680,73051,628,1428,27364,3724,22661,4472582,1818
(주)ES큐브,050120,2019/09,146743,54151,33519,81726,65017,529,-1334,23111,3961,18870,4537712,3087
(주)ES큐브,050120,2020/09,99609,10396,15204,11045,88563,434,-13452,24665,3628,20025,5411519,21463
(주)ES큐브,050120,2021/09,88529,13178,11824,14083,74446,0,1533,30459,3460,25264,4245069,1323
(주)ES큐브,050120,2022/09,90668,11088,18139,12120,78548,0,13217,42712,4408,34116,10726142,1485
(주)가비아,079940,2011/09,37062,11918,9361,13323,23739,0,2726,24546,6477,14811,755215,274
(주)가비아,079940,2012/09,49586,8626,7090,21799,27787,98,2274,28594,8773,17401,1111354,370
(주)가비아,079940,2013/09,52159,11688,9422,17428,34731,0,3775,30301,9556,18518,1092609,570
(주)가비아,079940,2014/09,54055,11491,12983,16681,37374,0,2173,32913,10036,20439,1425429,285
(주)가비아,079940,2015/09,56508,9430,15820,14930,41578,0,3425,36145,11298,21405,1588437,1103
(주)가비아,079940,2016/09,59343,9365,9941,14865,44478,0,2595,36987,12514,21451,1472701,90
(주)가비아,079940,2017/09,62707,15715,12688,15715,46992,0,1788,39388,14128,23151,2089078,87
(주)가비아,079940,2018/09,68208,17689,18816,18689,49519,0,2378,41289,14266,23931,2009750,114
(주)가비아,079940,2019/09,83417,20954,15846,30171,53246,0,3734,42524,14076,25089,1592676,208
(주)가비아,079940,2020/09,93469,25825,19812,35975,57495,0,3876,46617,15100,26923,2217584,131
(주)가비아,079940,2021/09,99268,21703,21571,35847,63421,0,4223,52244,18484,28950,1943164,199
(주)가비아,079940,2022/09,113140,28562,24138,46099,67042,0,4937,57146,21447,30914,2518520,166
(주)가온칩스,399720,2022/09,73873,19211,59861,21494,52379,0,2449,32075,6031,23844,2149652,1053
