회사명,거래소코드,회계년도,자산(*)(요약)(IFRS연결)(백만원),유동부채(*)(요약)(IFRS연결)(백만원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),자본(*)(요약)(IFRS연결)(백만원),재고자산(요약)(IFRS연결)(백만원),당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS연결)(백만원),매출원가(요약)(IFRS연결)(백만원),매입채무(IFRS연결)(천원),금융원가(요약)(IFRS연결)(백만원)
(주)CMG제약,058820,2011/09,,,,,,,,,,,,
(주)CMG제약,058820,2012/09,,,,,,,,,,,,
(주)CMG제약,058820,2013/09,56998,6429,40743,7997,49000,4849,542,15186,5259,8892,4738783,1262
(주)CMG제약,058820,2014/09,57647,6791,28706,8398,49248,4802,266,16989,6143,10585,4274791,183
(주)CMG제약,058820,2015/09,58261,7537,27052,8227,50034,5034,-719,19625,8271,12277,4100329,80
(주)CMG제약,058820,2016/09,57949,8097,26493,9174,48775,6692,1097,24113,8621,14457,4972929,0
(주)CMG제약,058820,2017/09,115589,9988,79685,11753,103836,7220,2536,30803,11123,17579,6756590,8
(주)CMG제약,058820,2018/09,112369,10597,83056,12399,99970,9054,2009,36431,14866,19778,6186464,14
(주)CMG제약,058820,2019/09,193088,9860,153837,13237,179851,9990,2705,42599,19176,21811,5197225,27
(주)CMG제약,058820,2020/09,,,,,,,,,,,,
(주)CMG제약,058820,2021/09,,,,,,,,,,,,
(주)CMG제약,058820,2022/09,,,,,,,,,,,,
(주)ES큐브,050120,2011/09,,,,,,,,,,,,
(주)ES큐브,050120,2012/09,,,,,,,,,,,,
(주)ES큐브,050120,2013/09,62873,2799,42360,4068,58805,1063,315,51904,11546,38342,385641,1739
(주)ES큐브,050120,2014/09,47329,2554,39787,3438,43891,1586,2490,39865,7229,31840,785518,908
(주)ES큐브,050120,2015/09,63300,5269,46575,6118,57181,1747,3028,34533,8204,27051,996869,1562
(주)ES큐브,050120,2016/09,103940,1384,52572,32794,71147,3193,21057,29868,5883,21877,402260,1608
(주)ES큐브,050120,2017/09,106368,3329,50801,32995,73373,4419,2207,31613,5611,23165,1044514,1654
(주)ES큐브,050120,2018/09,116328,38151,53265,43144,73184,6915,-385,29304,6529,22748,681891,2125
(주)ES큐브,050120,2019/09,335576,72573,227113,259260,76316,4281,-2012,32031,7376,25525,604038,3189
(주)ES큐브,050120,2020/09,572587,367218,433941,492264,80324,4859,-14214,60835,9723,47703,2400992,21919
(주)ES큐브,050120,2021/09,958546,670837,275943,877282,81265,11034,10782,92182,10517,70023,2917414,1665
(주)ES큐브,050120,2022/09,122227,8383,41263,11355,110872,15202,13433,66691,7042,48783,5067252,1129
(주)가비아,079940,2011/09,62857,13400,27395,15819,47038,0,3745,38131,10838,20925,715563,395
(주)가비아,079940,2012/09,80712,11894,24957,26399,54313,755,2896,51269,15194,30282,1091188,395
(주)가비아,079940,2013/09,90156,16008,33865,23506,66650,224,4948,52637,18387,29239,1596502,642
(주)가비아,079940,2014/09,96667,14826,39701,22151,74516,0,2921,59628,19742,33034,2123795,389
(주)가비아,079940,2015/09,103662,12716,48559,20494,83168,0,4790,68175,22413,37345,2156489,206
(주)가비아,079940,2016/09,117448,15751,52556,24035,93413,2266,3968,73264,24396,39549,3248886,101
(주)가비아,079940,2017/09,130340,24280,62292,28415,101925,2234,3058,83575,31981,43810,4441052,227
(주)가비아,079940,2018/09,144539,29552,77209,36107,108432,2942,4578,91684,32178,48067,7462570,224
(주)가비아,079940,2019/09,193824,43318,82585,66892,126932,3902,6183,102709,35093,53177,3917861,866
(주)가비아,079940,2020/09,244792,53236,123892,80266,164526,4192,7428,120883,40583,61717,8034628,1638
(주)가비아,079940,2021/09,275831,49208,139957,84520,191310,5896,8654,142203,46625,74341,6153439,540
(주)가비아,079940,2022/09,326778,59634,169641,94017,232761,9514,15857,171228,54579,89228,8869026,1091
(주)가온칩스,399720,2022/09,73878,19217,60340,21500,52378,0,2431,32075,6048,23844,2149652,1053
(주)강스템바이오텍,217730,2015/09,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/09,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/09,47742,5447,26801,33904,13838,1142,-10818,7459,13906,2135,721311,2551
(주)강스템바이오텍,217730,2018/09,89978,8511,54272,23954,66024,1368,4040,6738,8959,6095,1603015,713
(주)강스템바이오텍,217730,2019/09,121394,20508,61384,41727,79666,1419,-14492,3569,15866,3962,755480,951
