회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융비용(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)DB하이텍,000990,2011/03,1356521,587459,439440,995104,361417,78954,-2247,147257,29281,113891,27883248,0,14403
(주)DB하이텍,000990,2012/03,1195188,511049,300422,916577,278612,78914,-16315,142782,28737,120391,25484587,0,15154
(주)DB하이텍,000990,2013/03,1143783,640029,254310,890591,253192,84334,-21361,121200,23530,104878,31535670,0,16168
(주)DB하이텍,000990,2014/03,1041779,485864,229123,862604,179174,81750,-18176,118574,23458,94261,36290991,0,18507
(주)DB하이텍,000990,2015/03,1003405,360193,252050,802495,200909,79343,62631,145500,24906,102328,40329793,0,17135
(주)DB하이텍,000990,2016/03,1038976,240539,345160,728111,310865,75915,33207,183876,27636,115531,36463795,0,11972
(주)DB하이텍,000990,2017/03,1039757,329726,380562,641740,398018,77168,33567,190461,27602,111311,39282228,0,10401
(주)DB하이텍,000990,2018/03,1010764,173697,384275,552975,457789,41750,11471,138445,24501,101300,33279460,0,4507
(주)DB하이텍,000990,2019/03,1070407,180806,387669,524944,545464,48788,17732,159580,25446,111797,33793210,0,4576
(주)DB하이텍,000990,2020/03,1146381,236052,470143,461162,685220,54082,54945,225803,27477,133623,35922113,0,5789
(주)DB하이텍,000990,2021/03,1194735,250804,486063,365828,828907,51074,47748,243736,30752,152430,36664567,0,1898
(주)DB하이텍,000990,2022/03,1662066,338649,922696,438891,1223175,73682,136777,395025,35320,178196,49451887,0,1730
(주)HJ중공업,097230,2011/03,6148280,2345751,2853774,4181061,1967219,174778,-26317,523573,29063,474448,331730000,0,76661
(주)HJ중공업,097230,2012/03,5861056,2033569,2185488,3985495,1875561,173297,-2922,414695,28397,372383,148836000,0,55221
(주)HJ중공업,097230,2013/03,5765546,2155804,2267256,3757386,2008160,199517,-15288,465540,27844,424359,205973000,0,65236
(주)HJ중공업,097230,2014/03,5672799,2333366,1778150,3877162,1795637,480106,-9980,480092,19682,438343,276189000,0,47545
(주)HJ중공업,097230,2015/03,5459814,2145017,2145803,3714399,1745415,781668,-17392,459327,20379,433662,368950000,0,41512
(주)HJ중공업,097230,2016/03,4656700,2697787,1699791,3322641,1334059,637630,-23844,413895,30043,399381,261777000,0,45781
(주)HJ중공업,097230,2017/03,3729773,1545404,1519145,2955026,774747,486293,-76834,339476,27461,312077,136946000,0,61737
(주)HJ중공업,097230,2018/03,3224800,2481270,1318192,2690561,534239,579071,-3207,400744,21854,344791,149746000,0,24144
(주)HJ중공업,097230,2019/03,2321253,1166364,1234026,2065926,255327,498297,-72155,309167,30838,278358,166007000,0,65768
(주)HJ중공업,097230,2020/03,2366317,1742487,1220985,2124058,242259,307468,-5449,335228,18761,299473,140448000,0,21135
(주)HJ중공업,097230,2021/03,2177291,1056233,1013102,1897869,279422,168575,-40869,274339,21234,278279,178705000,0,15696
(주)HJ중공업,097230,2022/03,2367846,932325,934811,1945603,422243,149202,-9034,347795,21287,323986,177821000,0,13357
(주)MH에탄올,023150,2011/03,133110,70498,35930,79757,53353,4764,386,10686,1040,8330,2647289,0,1325
(주)MH에탄올,023150,2012/03,135358,65781,25098,78733,56625,5345,464,11080,823,8760,933000,0,1369
(주)MH에탄올,023150,2013/03,140119,66642,22413,79721,60398,5535,1685,11164,848,7551,0,0,798
(주)MH에탄올,023150,2014/03,87754,37655,31653,38763,48991,5785,1872,11596,832,7991,0,0,712
(주)MH에탄올,023150,2015/03,85421,30799,28615,31922,53500,7630,2467,12275,742,8258,0,0,257
(주)MH에탄올,023150,2016/03,79954,22015,23192,22629,57324,7534,2121,12189,847,8622,0,0,181
(주)MH에탄올,023150,2017/03,75388,10654,22030,12353,63036,8192,1941,11516,757,8332,0,0,188
(주)MH에탄올,023150,2018/03,107199,15850,17301,43131,64068,5980,1784,11485,842,8389,0,0,281
(주)MH에탄올,023150,2019/03,110776,15496,19387,43031,67745,8441,1622,11537,849,8439,0,0,286
(주)MH에탄올,023150,2020/03,101387,16311,18452,42440,58947,5568,1747,13571,908,10459,0,0,250
(주)MH에탄올,023150,2021/03,97040,18470,19260,39804,57236,7590,1905,12120,1080,8713,0,0,179
(주)MH에탄올,023150,2022/03,99354,40833,19692,42541,56813,8701,1034,12350,1086,9952,0,0,237
(주)SH에너지화학,002360,2011/03,101897,27335,40276,32303,69594,7361,237,34699,1928,32494,450059,0,676
(주)SH에너지화학,002360,2012/03,102110,31929,47370,37601,64510,13182,73,43210,2133,40641,4132714,0,742
