회사명,거래소코드,회계년도,자산(*)(요약)(IFRS연결)(백만원),유동부채(*)(요약)(IFRS연결)(백만원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),자본(*)(요약)(IFRS연결)(백만원),재고자산(요약)(IFRS연결)(백만원),당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS연결)(백만원),매출원가(요약)(IFRS연결)(백만원),매입채무(IFRS연결)(천원),금융비용(IFRS연결)(천원),금융원가(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/03,,,,,,,,,,,,,
(주)DB하이텍,000990,2012/03,,,,,,,,,,,,,
(주)DB하이텍,000990,2013/03,1147245,633887,261870,884747,262498,84334,-29282,121213,23738,104878,27655935,0,16168
(주)DB하이텍,000990,2014/03,1044865,485803,229569,862589,182277,81750,-23244,118588,23497,94261,36406370,0,18507
(주)DB하이텍,000990,2015/03,984842,360858,253842,802004,182838,79343,61213,145500,24766,102328,40943434,0,17135
(주)DB하이텍,000990,2016/03,1009139,241123,347503,728619,280519,75915,27241,183876,27638,115531,37287095,0,11972
(주)DB하이텍,000990,2017/03,1009723,330549,383887,643229,366494,77168,28077,190461,27416,111311,40363162,0,10401
(주)DB하이텍,000990,2018/03,1026551,173778,384739,553055,473495,41750,2097,138445,24468,101300,33607050,0,4507
(주)DB하이텍,000990,2019/03,1084951,181003,391294,525141,559810,48788,16123,159580,25410,111797,34136123,0,4576
(주)DB하이텍,000990,2020/03,1147544,237537,475542,462647,684897,54082,55065,225803,27436,133623,37516691,0,5789
(주)DB하이텍,000990,2021/03,1196238,252741,491797,367765,828473,51074,47811,243736,30715,152430,38308686,0,1898
(주)DB하이텍,000990,2022/03,1685682,338762,928695,440456,1245226,73682,158685,395025,35284,178196,49476594,0,1730
(주)HJ중공업,097230,2011/03,7241984,3161371,2673163,5320687,1921297,328086,-10481,638107,32563,562082,293849000,0,85474
(주)HJ중공업,097230,2012/03,6826527,2432137,2220147,4930606,1895921,297773,38588,605801,34368,506648,163792000,0,63376
(주)HJ중공업,097230,2013/03,6502193,2655351,2163696,4640936,1861257,271773,-49521,549054,31835,531729,237224000,0,71089
(주)HJ중공업,097230,2014/03,6540153,3041642,2675050,4908701,1631452,614359,-24917,604374,23757,560737,228376000,0,57081
