회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),유동부채(*)(요약)(IFRS)(백만원),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원),자본(*)(요약)(IFRS)(백만원),재고자산(요약)(IFRS)(백만원),당기순이익(총포괄손익)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS)(백만원),매출원가(요약)(IFRS)(백만원),매입채무(IFRS)(천원),금융원가(요약)(IFRS)(백만원)
(주)DB하이텍,000990,2011/09,1331278,581948,422693,998602,332675,84152,-53609,419560,93353,331697,25412280,49526
(주)DB하이텍,000990,2012/09,1211757,589658,350105,915374,296383,86670,-10204,450104,86149,366734,26267774,39098
(주)DB하이텍,000990,2013/09,1104651,492961,244201,871822,232829,86134,-36649,387272,73719,307186,34802061,44283
(주)DB하이텍,000990,2014/09,1023040,377770,231148,866909,156131,72663,-41607,410195,69271,317885,34987651,51853
(주)DB하이텍,000990,2015/09,1075574,409812,302802,798079,277495,89897,123273,485083,73984,316661,46128290,51008
(주)DB하이텍,000990,2016/09,1000234,203329,300754,629006,371228,71012,93583,572144,83666,358087,41703048,33482
(주)DB하이텍,000990,2017/09,1013193,149215,353424,578015,435178,88527,70727,529044,82543,317608,39077657,35697
(주)DB하이텍,000990,2018/09,1040964,179970,402028,517736,523229,37686,76910,496246,74647,334496,34198303,14876
(주)DB하이텍,000990,2019/09,1104684,204037,428731,481069,623615,56358,95883,595385,84057,377989,33530640,15654
(주)DB하이텍,000990,2020/09,1165241,257637,446034,374233,791008,54522,160733,708101,86104,413173,34156447,10547
(주)DB하이텍,000990,2021/09,1357675,277655,660115,381821,975853,59273,194695,846827,98899,487068,40936471,4850
(주)DB하이텍,000990,2022/09,2026728,383967,1238794,475749,1550979,69772,464581,1278147,114849,548322,48072315,14727
(주)HJ중공업,097230,2011/09,6181212,2162962,2845931,4225345,1955867,141969,-64655,1724878,83442,1614941,247823000,189484
(주)HJ중공업,097230,2012/09,5880781,2009724,2205965,4077660,1803121,181487,-78338,1353866,78877,1274300,157506000,158524
(주)HJ중공업,097230,2013/09,5638731,2352829,2129820,3703645,1935086,511178,-69493,1413656,83294,1297308,146984000,136101
(주)HJ중공업,097230,2014/09,5424358,2110919,1713298,3590808,1833550,475824,-158337,1299459,79319,1298665,309179000,124497
(주)HJ중공업,097230,2015/09,5135698,2135975,1776157,3448838,1686860,744661,-81595,1594434,111619,1493101,329421000,147620
(주)HJ중공업,097230,2016/09,4009515,1364958,1438985,2880918,1128597,512039,-16289,1387894,69477,1250432,158222000,123549
(주)HJ중공업,097230,2017/09,3530863,1381860,1569360,2810928,719935,348628,-163298,1233603,74430,1068913,150313000,109017
(주)HJ중공업,097230,2018/09,3150053,2418426,1326958,2648382,501671,557628,-69449,1212640,51449,1088232,150709000,81917
(주)HJ중공업,097230,2019/09,2197615,1108712,1161340,1989665,207950,456082,-117791,1071471,75520,985706,188441000,105583
(주)HJ중공업,097230,2020/09,2162325,1511678,1026873,1811574,350751,167562,103433,1295674,55865,1178308,174604000,47818
(주)HJ중공업,097230,2021/09,2049645,949409,906918,1788769,260876,184568,-58482,1192664,64701,1144010,228560000,44766
(주)HJ중공업,097230,2022/09,2424406,1032367,919500,2037006,387400,210942,-43701,1190702,69315,1116722,175170000,52360
(주)MH에탄올,023150,2011/09,139982,70706,30878,84136,55846,4083,2862,32727,2779,24812,1910298,3877
(주)MH에탄올,023150,2012/09,136285,65880,24914,78956,57329,5887,1168,33455,2624,26701,1472832,3817
(주)MH에탄올,023150,2013/09,142104,66551,23545,79710,62394,5395,3623,34194,2686,24762,0,2402
(주)MH에탄올,023150,2014/09,88647,32215,28347,33332,55315,8356,7082,36585,2267,25772,0,1448
(주)MH에탄올,023150,2015/09,83343,26085,27871,26744,56600,5870,6461,37135,2144,25505,0,694
(주)MH에탄올,023150,2016/09,74438,12492,19190,12995,61443,8602,6240,36650,2427,25132,0,471
(주)MH에탄올,023150,2017/09,84870,15751,20391,18159,66711,6140,6335,36112,2288,25500,0,290
(주)MH에탄올,023150,2018/09,108423,14492,18428,41963,66460,6208,4574,34694,2650,25769,0,875
(주)MH에탄올,023150,2019/09,111314,13827,17631,41595,69719,7336,4236,35378,2800,26661,0,857
(주)MH에탄올,023150,2020/09,101851,16503,19308,40696,61156,8326,3956,39854,3066,30432,0,688
(주)MH에탄올,023150,2021/09,98779,21557,19971,40229,58550,11047,3219,34305,3314,26658,0,578
(주)MH에탄올,023150,2022/09,101652,43256,21165,45841,55811,8049,31,38306,3155,34285,0,892
(주)SH에너지화학,002360,2011/09,98322,29802,43243,34987,63335,9159,2073,124565,5716,116314,1161657,2185
(주)SH에너지화학,002360,2012/09,105529,33190,51247,39159,66370,12618,2341,144224,6732,134109,2564592,2136
(주)SH에너지화학,002360,2013/09,108479,32070,55949,40586,67893,12551,3197,166118,5730,155492,3044148,2059
(주)SH에너지화학,002360,2014/09,112804,29140,61929,33902,78902,13534,10784,168732,6682,147918,3015631,1694
(주)SH에너지화학,002360,2015/09,116008,19309,60236,24685,91323,14387,12954,156304,8391,131695,1049623,707
(주)SH에너지화학,002360,2016/09,114672,9012,70095,16025,98647,16564,12786,149563,7222,125008,1300339,1095
(주)SH에너지화학,002360,2017/09,122069,8137,80567,16641,105428,10099,8444,146525,7344,127790,451594,975
(주)SH에너지화학,002360,2018/09,122237,7017,78646,17038,105199,20404,3639,138665,6657,127823,1341533,319
(주)SH에너지화학,002360,2019/09,123768,7080,76682,22781,100987,15743,-211,106775,6435,101379,1494029,427
(주)SH에너지화학,002360,2020/09,118088,6602,65229,26842,91246,8416,-5980,64415,5971,65263,900924,549
(주)SH에너지화학,002360,2021/09,118536,12351,69300,27953,90583,9852,805,98628,6442,91671,1115193,672
(주)SH에너지화학,002360,2022/09,124036,10303,74212,30911,93125,21645,2974,123069,7097,114937,1649338,1273
(주)SIMPAC,009160,2011/09,284801,116570,146008,128165,156636,29600,20649,159241,11247,123748,39180378,1837
(주)SIMPAC,009160,2012/09,318568,121273,163681,144448,174120,32111,19676,166222,12938,133325,46678996,2075
(주)SIMPAC,009160,2013/09,323615,110934,158895,130350,193265,27061,15583,143652,11831,114395,37368742,3092
(주)SIMPAC,009160,2014/09,371984,148294,120451,163469,208515,36830,10883,163482,15915,136784,39994600,2675
(주)SIMPAC,009160,2015/09,368385,145104,137019,151580,216805,50754,15347,146898,13410,116561,40513425,1888
(주)SIMPAC,009160,2016/09,368615,109283,139391,145119,223496,44440,9390,152746,14285,126185,34348690,2572
(주)SIMPAC,009160,2017/09,351194,120260,131361,125672,225523,40897,8534,166060,17053,135200,37576931,2215
(주)SIMPAC,009160,2018/09,628589,213163,277549,222204,406385,92971,57054,163964,15558,143271,33996947,2362
(주)SIMPAC,009160,2019/09,632635,197864,273165,207565,425070,83834,17361,310366,19091,278022,30123004,2589
(주)SIMPAC,009160,2020/09,596352,170703,230981,180271,416081,90556,8170,193873,17449,169542,25375343,4209
(주)SIMPAC,009160,2021/09,801487,324699,417579,341943,459544,122855,33773,297363,23421,241360,30490196,21290
(주)SIMPAC,009160,2022/09,832369,290699,438482,304015,528354,159314,58431,395015,37975,272947,24385020,23305
(주)SNT에너지,100840,2011/09,256456,81297,125404,99955,156501,7752,-8325,136308,16220,129802,36734198,8188
(주)SNT에너지,100840,2012/09,314651,107039,183467,132868,181783,15236,7540,181909,19438,151856,51624736,5017
(주)SNT에너지,100840,2013/09,301249,82600,171020,104700,196550,22971,14658,144615,16475,115386,36950485,2876
(주)SNT에너지,100840,2014/09,289079,61420,155777,82834,206245,12661,10096,191556,17876,162608,31224071,3317
(주)SNT에너지,100840,2015/09,313325,64165,179643,84814,228511,9477,23938,194742,17269,151192,26534734,4803
(주)SNT에너지,100840,2016/09,311114,56195,180454,74988,236126,5154,8555,193524,18535,155753,23063991,9240
(주)SNT에너지,100840,2017/09,315117,58854,180535,75058,240059,2767,10483,147013,12922,116139,19219106,9544
(주)SNT에너지,100840,2018/09,293361,38039,167556,57400,235962,4035,6653,110756,14884,92611,20307064,1809
(주)SNT에너지,100840,2019/09,319461,50538,190517,71533,247928,12115,16752,155531,13472,128198,28128724,1117
(주)SNT에너지,100840,2020/09,360754,92550,227198,112391,248362,10672,17479,176335,12305,143599,30510139,3837
(주)SNT에너지,100840,2021/09,316401,46465,182839,69168,247233,1353,19985,132285,10882,106908,19243941,2295
(주)SNT에너지,100840,2022/09,353938,76662,215754,98815,255123,9721,14753,125614,13255,111690,28627467,5080
(주)SNT홀딩스,036530,2011/09,390059,136,66413,242,389818,0,5098,1621,1203,0,0,0
(주)SNT홀딩스,036530,2012/09,387363,98,39349,213,387150,0,7555,8109,1367,0,0,0
(주)SNT홀딩스,036530,2013/09,397019,313,48878,439,396580,0,7746,8259,1336,0,0,0
(주)SNT홀딩스,036530,2014/09,398981,238,49100,358,398623,0,6540,7149,1215,0,0,0
(주)SNT홀딩스,036530,2015/09,430445,8172,97577,8172,422272,0,27755,7887,1298,0,0,0
(주)SNT홀딩스,036530,2016/09,426726,660,97083,660,426066,0,6170,9229,1260,0,0,0
(주)SNT홀딩스,036530,2017/09,425512,202,97861,202,425309,0,4270,6910,1511,0,0,0
(주)SNT홀딩스,036530,2018/09,425522,188,92185,188,425334,0,6007,6750,1322,0,0,0
(주)SNT홀딩스,036530,2019/09,417062,192,31632,192,416870,0,9188,10498,1443,0,0,0
(주)SNT홀딩스,036530,2020/09,423795,262,26240,288,423507,0,22742,24557,1821,0,0,0
(주)SNT홀딩스,036530,2021/09,425617,263,23211,674,424943,0,16405,18195,1837,0,0,8
(주)SNT홀딩스,036530,2022/09,434194,513,27122,805,433389,0,18607,20238,1819,0,0,9
(주)STX,011810,2011/09,3234000,1609903,1069449,2132796,1101204,315206,8382,2989992,86578,2842923,209378000,244704
(주)STX,011810,2012/09,3454057,1880747,1099793,2327679,1126378,132511,-18710,3218128,75974,3113636,303482000,178080
(주)STX,011810,2013/09,1564223,1252929,684304,1714504,-150281,60598,-1303002,1555849,125276,1491098,133902000,242938
(주)STX,011810,2014/09,1061890,617639,675769,962672,99218,114160,378682,940109,27389,889543,95488000,129839
(주)STX,011810,2015/09,987660,675299,702391,985243,2417,131165,-52633,1058228,34355,1050094,89332000,130685
(주)STX,011810,2016/09,607593,640449,388793,905803,-298210,98473,-370576,1075406,58397,1095314,116154000,158768
(주)STX,011810,2017/09,563511,489698,391388,514296,49215,104080,339094,1197797,17386,1160633,136984000,108622
(주)STX,011810,2018/09,427855,341949,275734,367410,60445,82955,1920,1027377,12254,1020206,85814000,49594
(주)STX,011810,2019/09,502321,400810,326920,430472,71849,91892,-16600,936818,16737,911455,93445000,67045
(주)STX,011810,2020/09,370469,302772,156990,320897,49572,33136,3949,696102,14520,676782,62879000,45052
(주)STX,011810,2021/09,372248,285785,161484,313998,58250,23587,-8292,448696,18266,432168,89777000,43545
(주)STX,011810,2022/09,427364,345882,201838,365565,61799,57739,821,659483,17963,631808,84009000,85556
(주)TCC스틸,002710,2011/09,432343,162293,183327,222687,209656,84963,5514,352226,18457,323306,40938118,11606
(주)TCC스틸,002710,2012/09,446814,161882,180448,236658,210156,77023,5138,334303,22203,302870,28790843,10630
(주)TCC스틸,002710,2013/09,475565,133159,169930,265320,210245,68193,236,318531,20000,292603,24566498,11598
(주)TCC스틸,002710,2014/09,472675,168974,159036,260994,211681,69289,709,297008,18666,273729,26297262,10958
(주)TCC스틸,002710,2015/09,364688,157550,122902,281511,83177,55527,-127850,274413,19639,240148,19623272,98587
(주)TCC스틸,002710,2016/09,328886,118124,185326,244500,84386,46005,7152,233910,16932,209079,20713708,6452
(주)TCC스틸,002710,2017/09,264799,84956,111975,172623,92176,54118,1122,254206,17223,232096,20372866,4945
(주)TCC스틸,002710,2018/09,260016,153614,121602,164690,95327,56122,6597,261278,9970,240909,22734509,5450
(주)TCC스틸,002710,2019/09,280111,90364,135621,181831,98279,70103,2956,261427,10831,238589,23706289,9632
(주)TCC스틸,002710,2020/09,276181,160133,129304,178912,97269,62934,-126,239027,10492,225194,20230461,6226
(주)TCC스틸,002710,2021/09,322611,146522,164685,209244,113366,86249,10372,293156,12245,265337,38788336,6907
(주)TCC스틸,002710,2022/09,395083,174112,211516,244613,150470,103530,11155,397913,16289,341870,16793091,33593
(주)강원랜드,035250,2011/09,2535991,325519,930328,342058,2193933,1935,309297,955067,176455,373381,1338825,325
(주)강원랜드,035250,2012/09,2818328,439374,1076948,463983,2354346,1360,266869,983382,188082,455925,1708420,2473
(주)강원랜드,035250,2013/09,2919384,381221,1127449,412858,2506526,1264,280525,1022023,183412,485020,2211709,6221
(주)강원랜드,035250,2014/09,3196050,468514,1363485,497621,2698428,970,320620,1119740,194435,522379,1532058,176
(주)강원랜드,035250,2015/09,3502106,538375,1521172,599055,2903051,1111,352126,1225685,202919,540682,3540253,170
(주)강원랜드,035250,2016/09,3765056,540634,1667267,568095,3196961,1406,390630,1284962,219932,560491,3829601,638
(주)강원랜드,035250,2017/09,4041625,610047,2226841,629795,3411829,1610,358154,1203776,209848,554626,2482004,859
(주)강원랜드,035250,2018/09,4192277,597333,1866135,605466,3586812,1109,278581,1084908,213773,502802,3273725,2333
(주)강원랜드,035250,2019/09,4166647,459580,1833954,475591,3691056,2455,281724,1145208,205026,501884,2640860,252
(주)강원랜드,035250,2020/09,3739249,349016,1400352,452664,3286585,3189,-244100,346400,310327,391110,122555,8976
(주)강원랜드,035250,2021/09,3717016,386890,1669639,471565,3245451,2853,1450,545544,78343,499757,3530489,2087
(주)강원랜드,035250,2022/09,3956097,532372,1348165,604200,3351896,3881,104923,934801,86203,649526,2839470,71625
(주)갤럭시아에스엠,011420,2011/09,44423,14167,19121,19129,25295,0,3349,26167,2283,21203,750247,1168
(주)갤럭시아에스엠,011420,2012/09,41368,13630,22310,16500,24868,0,485,25101,1584,22751,1770965,634
(주)갤럭시아에스엠,011420,2013/09,38473,11404,20738,14137,24336,0,113,24399,1576,21243,1471231,568
(주)갤럭시아에스엠,011420,2014/09,39404,14527,21655,17126,22278,0,-1383,19362,1638,19336,1284352,1727
