회사명,거래소코드,회계년도,자산(*)(요약)(IFRS연결)(백만원),유동부채(*)(요약)(IFRS연결)(백만원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),자본(*)(요약)(IFRS연결)(백만원),재고자산(요약)(IFRS연결)(백만원),당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),판매비와 관리비(물류원가 등 포함)(요약)(IFRS연결)(백만원),매출원가(요약)(IFRS연결)(백만원),매입채무(IFRS연결)(천원),금융원가(요약)(IFRS연결)(백만원)
(주)DB하이텍,000990,2011/09,,,,,,,,,,,,
(주)DB하이텍,000990,2012/09,,,,,,,,,,,,
(주)DB하이텍,000990,2013/09,1116377,490719,255494,869776,246602,86134,-41107,387277,73820,307186,34802061,44283
(주)DB하이텍,000990,2014/09,1010428,377742,232133,867083,143344,72663,-58237,410179,68910,317885,35183026,51853
(주)DB하이텍,000990,2015/09,1066650,419303,313865,806948,259702,89897,117807,485083,73597,316661,55489120,51008
(주)DB하이텍,000990,2016/09,950130,204512,303925,628381,321749,71012,75963,572144,83335,358087,43070322,33482
(주)DB하이텍,000990,2017/09,989103,150407,357974,581863,407240,88527,64270,529044,81584,317608,40423349,35697
(주)DB하이텍,000990,2018/09,1058460,180760,403166,518526,539934,37686,69235,496246,74560,334496,35087685,14876
(주)DB하이텍,000990,2019/09,1117102,204120,432510,481152,635950,56358,92134,595385,83945,377989,33803090,15654
(주)DB하이텍,000990,2020/09,1157432,259244,451466,375840,781592,54522,152460,708101,85996,413173,35708215,10547
(주)DB하이텍,000990,2021/09,1362530,277764,664454,381930,980600,59273,199520,846827,98798,487068,40936471,4850
(주)DB하이텍,000990,2022/09,2055879,384175,1246088,477679,1578200,69772,490457,1278147,114726,548322,48205297,14727
(주)HJ중공업,097230,2011/09,7398559,2956854,2705107,5425965,1972594,321071,-27058,2136492,96278,1955402,207717000,209789
(주)HJ중공업,097230,2012/09,6652449,2357048,2108217,4895816,1756633,253491,-85921,1831980,93414,1708439,189365000,182051
(주)HJ중공업,097230,2013/09,6389080,2954135,2464017,4639893,1749187,614955,-90864,1867166,94428,1736817,190253000,156552
(주)HJ중공업,097230,2014/09,6291457,2732124,2523916,4664718,1626739,634538,-193648,1808063,96450,1808157,217549000,147255
(주)HJ중공업,097230,2015/09,6224679,3094384,2578368,4681092,1543587,927357,-142302,2369184,128750,2246642,292965000,183000
(주)HJ중공업,097230,2016/09,5243176,2339286,2165680,4123676,1119500,669752,-16450,2133546,93927,1952624,279096000,150803
(주)HJ중공업,097230,2017/09,4560519,2310924,2149534,3823046,737473,426548,-138581,1804851,115597,1722433,260781000,120457
(주)HJ중공업,097230,2018/09,3892673,2879222,1698197,3383661,509012,622551,-73283,1460455,74739,1359364,175248000,91530
(주)HJ중공업,097230,2019/09,2200406,1117896,1162076,1995673,204733,456082,185166,1084470,75576,993952,188582000,105843
(주)HJ중공업,097230,2020/09,2167359,1515698,1027269,1817283,350076,167562,105030,1296688,55918,1178735,174791000,48070
(주)HJ중공업,097230,2021/09,2054009,951959,907062,1793300,260709,184568,-58298,1193169,64804,1144320,228610000,44941
(주)HJ중공업,097230,2022/09,2428235,1034810,919574,2041011,387224,210942,-43685,1191300,69373,1117067,175170000,52539
(주)MH에탄올,023150,2011/09,,,,,,,,,,,,
(주)MH에탄올,023150,2012/09,,,,,,,,,,,,
(주)MH에탄올,023150,2013/09,126138,74139,41010,88343,37795,12230,-1969,50955,3773,45666,0,2929
(주)MH에탄올,023150,2014/09,88935,32216,29051,33333,55603,8356,2282,36585,2268,25772,0,1448
(주)MH에탄올,023150,2015/09,83645,26085,28615,26734,56911,5870,6492,37135,2146,25505,0,694
(주)MH에탄올,023150,2016/09,74752,12493,19942,12985,61767,8602,6249,36650,2429,25132,0,471
(주)MH에탄올,023150,2017/09,85193,15751,21053,18149,67044,6140,6344,36112,2290,25500,0,290
(주)MH에탄올,023150,2018/09,454365,164206,35957,363628,90737,6322,-2369,51902,14457,40248,0,11366
(주)MH에탄올,023150,2019/09,456325,268191,29207,372540,83785,7431,1181,59262,13843,41162,0,8140
(주)MH에탄올,023150,2020/09,450067,147029,37826,374555,75512,8426,2627,69770,16508,45602,0,7528
(주)MH에탄올,023150,2021/09,448394,280330,44116,364493,83901,11116,4912,74556,16582,41435,0,9171
(주)MH에탄올,023150,2022/09,447157,184716,50906,356121,91036,8124,3734,82438,17333,49964,0,8725
(주)SH에너지화학,002360,2011/09,,,,,,,,,,,,
(주)SH에너지화학,002360,2012/09,,,,,,,,,,,,
(주)SH에너지화학,002360,2013/09,108781,32388,56926,41373,67409,12551,2830,167480,7531,155536,3051236,1522
(주)SH에너지화학,002360,2014/09,113514,29323,63518,34617,78897,13534,10846,170887,8107,148500,3019903,1176
(주)SH에너지화학,002360,2015/09,117865,19589,64543,25224,92641,14865,12996,158023,10464,131278,1058296,708
(주)SH에너지화학,002360,2016/09,115977,9250,75049,16470,99507,17126,12940,152607,9768,125150,1316641,1097
(주)SH에너지화학,002360,2017/09,123201,8384,84997,17059,106142,10099,8221,149075,8815,129214,458192,977
(주)SH에너지화학,002360,2018/09,123981,7171,87009,17392,106589,21819,3219,140844,7681,129620,1350454,321
(주)SH에너지화학,002360,2019/09,125680,7578,85866,23463,102217,15996,-609,109751,7236,104045,1499015,181
(주)SH에너지화학,002360,2020/09,118427,6978,73566,27450,90978,8633,-6410,66279,6658,67022,900924,510
(주)SH에너지화학,002360,2021/09,119288,12611,77166,28393,90894,10151,523,99226,6811,92197,1115193,327
(주)SH에너지화학,002360,2022/09,126449,10960,83125,31588,94861,22993,3127,127548,7540,118892,1649338,375
(주)SIMPAC,009160,2011/09,,,,,,,,,,,,
(주)SIMPAC,009160,2012/09,,,,,,,,,,,,
(주)SIMPAC,009160,2013/09,335743,110979,160984,131553,204190,27095,16535,144749,12460,114932,37368742,3092
(주)SIMPAC,009160,2014/09,431711,161321,154977,188488,243223,46627,34312,187795,19155,158986,48080060,2731
(주)SIMPAC,009160,2015/09,429766,175405,181702,196827,232939,63823,16122,189186,19300,151530,51827604,2736
(주)SIMPAC,009160,2016/09,422174,135082,178710,186858,235316,50258,9824,194676,19357,159750,41919024,4738
(주)SIMPAC,009160,2017/09,389616,134587,157751,155951,233665,46000,5164,186279,22337,153098,42405006,3145
(주)SIMPAC,009160,2018/09,675630,234014,313153,252074,423555,100011,57166,189198,19533,163235,40195100,2747
(주)SIMPAC,009160,2019/09,683405,218735,316601,236653,446752,91365,14510,337200,24447,296741,35182303,2942
(주)SIMPAC,009160,2020/09,675642,220317,321719,237952,437690,119752,7720,261098,24126,229673,31957687,4828
(주)SIMPAC,009160,2021/09,899930,363049,535031,388386,511544,167935,55727,380159,30681,295242,33913961,21654
(주)SIMPAC,009160,2022/09,970404,343129,592329,364715,605689,210389,79643,523109,46518,368263,30900760,23908
(주)SNT에너지,100840,2011/09,,,,,,,,,,,,
(주)SNT에너지,100840,2012/09,,,,,,,,,,,,
(주)SNT에너지,100840,2013/09,,,,,,,,,,,,
(주)SNT에너지,100840,2014/09,,,,,,,,,,,,
(주)SNT에너지,100840,2015/09,,,,,,,,,,,,
(주)SNT에너지,100840,2016/09,,,,,,,,,,,,
(주)SNT에너지,100840,2017/09,,,,,,,,,,,,
(주)SNT에너지,100840,2018/09,,,,,,,,,,,,
(주)SNT에너지,100840,2019/09,324132,55580,195015,77418,246715,12115,16724,164522,13632,135220,33108106,1117
(주)SNT에너지,100840,2020/09,364344,95880,231406,116335,248009,10688,17625,181268,12785,147831,30767684,3875
(주)SNT에너지,100840,2021/09,331577,60342,199272,83717,247861,1353,20705,137040,11387,110273,20096466,2325
(주)SNT에너지,100840,2022/09,381489,102326,241054,125137,256352,9882,14953,132924,14026,117096,29126162,6346
(주)SNT홀딩스,036530,2011/09,2069013,565772,993879,757161,1311852,288296,26780,1212976,95752,1057008,346262389,26607
(주)SNT홀딩스,036530,2012/09,2113087,566218,1030187,791900,1321187,317017,21838,1222833,90235,1071076,340291084,17065
(주)SNT홀딩스,036530,2013/09,2082255,506627,1014654,724782,1357473,335080,19731,1168286,84235,1006287,294082825,15388
(주)SNT홀딩스,036530,2014/09,1975062,419321,928723,614132,1360930,289506,25287,1145545,76515,1012324,255444709,15262
(주)SNT홀딩스,036530,2015/09,2217642,492481,1182450,701846,1515796,314741,24626,1168753,87413,961404,237025691,18178
(주)SNT홀딩스,036530,2016/09,2132781,394629,1128515,593204,1539577,264055,7422,1102362,75779,957829,202192439,35197
(주)SNT홀딩스,036530,2017/09,2164168,399751,1184374,591347,1572821,262239,18357,1113360,88003,946407,205402601,33789
(주)SNT홀딩스,036530,2018/09,2097534,425423,1153470,601040,1496494,240973,15809,996676,90002,870494,201463403,18548
(주)SNT홀딩스,036530,2019/09,2182473,377043,1233376,604364,1578108,263318,53180,1093999,79373,923314,219778312,6869
(주)SNT홀딩스,036530,2020/09,2322551,491024,1352615,690219,1632332,245711,37616,1021185,60350,873312,229053761,12048
(주)SNT홀딩스,036530,2021/09,2379697,426802,1334198,619177,1760520,258097,76412,1021371,65564,861274,180878984,6521
(주)SNT홀딩스,036530,2022/09,2517537,525076,1458128,691404,1826133,338304,62421,1086009,77013,918839,245999859,16787
